Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans1,1. 甲狀腺機能亢進會致使新陳代謝加快，造成全身性不適。甲狀腺的英文是？(*67),Thyroid ,Adrenal Gland ,Sebaceous Gland ,Tonsil,,,,
Ans2,2. 子宮脫垂即是骨盆腔的肌肉、韌帶及各層結締組織鬆弛後，子宮因地心引力牽扯而往下掉，嚴重者可以採自體組織或人工網膜進行陰道骨盆重建。子宮脫垂的英用術語是？(*139),Umbilical Cord Prolapse ,Uterine Prolapse,Prolapse Vagina ,Venereal Disease,,,,
Ans3,3. 胰臟位於腹腔後方深處，某大醫院為病患進行子宮內膜癌手術時，疑似誤切造成軒然大波。胰臟的英文是？(*50),Liver ,Stomach ,Pancreas ,Bladder,,,,
Ans4,4. Schizophrenia 是指精神科的？(*172),失智症 .,暴露症 ,畏懼症 ,思覺失調症,,,,
Ans3,5. 在糖尿病患者容易患的一種疾病中，cellulitis 是指？(*114),視網膜剝離 .,腎衰竭 ,蜂窩組織炎 ,氣胸,,,,
Ans1,6. 中耳炎是不少小朋友曾經感染的疾病，也是許多爸媽揮之不去的夢魘。中耳炎的英文是？,Tympanitis .,Conjunctivitis .,Nasitis ,Dermatitis,,,,
Ans1,7. 臺灣有近 60 萬人感染 C 型肝炎，幾年政府積極防治，目標於 2025 年能夠全面消除 C 肝。請問肝炎的英文是？(*156),Hepatitis ,Gingivitis ,Mumps,Dengue Fever,,,,
Ans2,8. 骨關節炎好犯負重關節及指關節，因為長久以來關節所承受的負荷及傷害所造成，其中骨關節炎是下列何者？(*7),Osteotomy ,Osteoarthritis ,Osteoporosis ,Osteomyelitis,※Tympanitis、 Otitis media 都是指中耳炎，題目為單選題並標明出處頁數，並不會影響答案。,,,
Ans3,9. LOINC 是下列何者的編碼系統？(*68),藥劑處方 ,影像儀器 ,檢驗檢查 ,醫學辭彙,,,,
Ans2,"10. 請問下列何種不屬於 DRGs(住院診斷關聯群支付制度)的優點之一？(*67-68 ,時事題)",減少不必要的用藥與檢查 ,病人遭醫院要求自費的機會增加,不會多住院 ,可控制日漸惡化的健保財務問題,,,,
