Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,1. 『Cellulitis』簡單的說就是一種皮膚傷口的細菌感染(常見的細菌包括俊鏈球菌、葡萄球菌、大腸菌、嗜肉菌等)。細菌經由傷口侵入真皮和皮下組織，釋放毒素，而在組織空隙內滋長，引起局部組織炎性反應。是指 (**132), 心肌炎 ,魚?病 , 乾癬 , 蜂窩組織炎,201211,,
Ans4,2. 「 Depression」在精神科臨床檢查中對於病患情感描述時是指？ (**145), 恐慌 , 冷漠 , 躁鬱 , 憂鬱,201211,,
Ans1,3. 最近一名 21 歲男大學生感染 H3N2 流感病毒，症狀嚴重，從發病、住進加護病房至死亡，短短九天，進一步檢驗感染病毒為 AH3。請問下列何者為流感的英文名稱？(時勢題), influenza , influence , influential , influent,201211,,
Ans4,4 臉色蒼白可能是受寒或遇到恐怖事情時精神方面受刺激後，臉部毛細孔變細、微血管收縮及血液循環減慢的結果。其中，在現症用語中對於病患臉色描述時，所使用的「蒼白」是指？ (**24), Poor , Pain , Pressure , Pale,201211,,
Ans1,5 承上題，醫生懷疑該位小姐可能得了急性心肌梗塞造成呼吸困難， 其中急性心肌梗塞的醫護術語是指？ (**41), Acute Myocardial Infarction , Acute Renal Failure, Acute Bacterial Endocarditis , Acute Rheumatic Fever,201211,,
Ans1,6. Positron Emission Tomography 簡稱 PET，是目前醫界診斷癌症、心臟病及神經精神疾病具有突破性意義的重要診斷工具，其中 PET 是指 (*404), 正子斷層造影 , 電子斷層造影 , 核磁共振造影 , 中子共振造影,201211,,
Ans1,7.1847 年德國病理學家魯道夫‧菲爾紹首次識別了白血病，白血病的病源是由於細胞內 DNA的變異形成的骨髓中造血組織的不正常工作。白血病的英文是? (**47), Leukemia , Erythropenia , Anemia , Erythremia,201211,,
Ans3,8.骨關節炎好犯負重關節及指關節，通常發生於 45 歲以後，因為長久以來關節所承受的負荷及傷害所造成，其中骨關節炎是下列何者? (**84), Osteotomy , Osteoporosis , Osteoarthritis , Osteomyelitis,201211,,
Ans3,9. LOINC 是下列何者的編碼系統? (*95), 藥劑處方 , 影像儀器 , 檢驗檢查 , 醫學辭彙,201211,,
Ans4,10. 衛生署為了提昇醫療服務品質落實醫療影像資源共享之目的，建立全國醫療影像交換中心，採用何種資訊標準作為影像交換之依據? (*98),LOINC , SNOMED , ICD , DICOM,201211,,
Ans3,11. TMT 電子病歷格式與內容是以醫療人員日常工作中的紙張單張為基本單位，採用下列哪一種架構，構成一個完整的樹狀結構之電子病歷架構？ (*101), HTML , SML , XML , UML,201211,,
Ans1,12. 資料庫是指一組共享且何者相關的資料集合? (*107), 邏輯上 , 實體上 , 排列上 , 對稱上,201211,,
Ans4,13. 下列何者非資料庫系統的優點? (*108), 減少資料的重複性 , 提高資料的保密性和安全性, 加強資料的一致性 , 降低成本,201211,,
Ans3,14. 在三層式資料庫結構中，提供使用者描述整體性的資料結構是哪個層次? (*110), 內部層次 , 資料層次 , 概念層次 , 外部層次,201211,,
Ans2,15. 關聯式資料庫的關聯可視為一個幾維的資料表格? (*112), 一維 , 二維 , 三維 , 多維,201211,,
Ans1,16. 為降低非必要的資料重複，資料庫設計時需執行 (*116), 正規化(Normalization) , 最小化(Minimization), 最佳化(Optimization ) , 視覺化(Visualization),201211,,
Ans2,17. 網路是一種分散且異質的環境，要做好網路管理，網路管理者必須透過軟體工具與網路設備溝通，一般所採用的「簡易網路管理通訊協定」是下列哪一種協定？ (*137), SOAP , SNMP , SMTP , SNCP,201211,,
Ans1,18. 數值訊號資料一般都採何種演算法來壓縮? (*149), 失真型 , 非失真型 , 標準型 , 以上皆非,201211,,
Ans4,19. 資訊安全目標的宗旨在於保護資料及系統資源的三種性質，下列何者不是其中之一?(*161), integrity , confidentiality , availability , authority,201211,,
Ans3,20. 美國國家安全局發布「橘皮書」時，將電腦系統安全信任程度分級，其分級數與我國行政院頒定之「政府機關（構）資訊安全責任等級分級作業施行計畫」相同，請問共分幾大等級？ (*162), 6 級 , 5 級 , 4 級 , 3 級,201211,,
Ans4,21. 資訊安全目標必須從四個方向來考慮，下列何者不屬於這四個方向? (*162), 系統安全 , 資料安全 , 程式安全 , 人身安全,201211,,
Ans1,22. 「一個由硬體及軟體所組成的完整系統，在不違反存取權限的情況下，能同時服務不定個數的用戶，並處理從一般機密至最高機密等不同範圍的資訊」乃是指. (*162), 受信任系統 , 安全系統 , 信心系統 , 以上皆非,201211,,
Ans2,23. ICD-9 的編碼由原來的 3 碼變為幾碼? (*94), 4 碼 , 5 碼 , 6 碼 , 7 碼,201211,,
Ans2,24. 虛擬私有網路 VPN 的英文全名為 (*168), Virtual Public Network , Virtual Private Network, Vector Public Network , Vector Private Network,201211,,
Ans3,25. 目前健保局使用何種代碼作為保險給付疾病代碼標準？ (*93), SNOMED , LONIC , ICD-9-CM , DRGs,201211,,
Ans4,26. 下列何者不是目前電子病歷交換單張所用到的資訊技術？ (*181), Electronic Signature , CDA , DICOM , Digital Filter,201211,,
Ans4,27. 「個人資料保護法」第 6 條規定「有關醫療、基因、性生活、健康檢查及犯罪前科之個人資料，不得蒐集、處理或利用」，但有仍有四項情形不在此限，請問下列「隱私權價值」陳述何者是正確的? (*194-195), 隱私權並不是唯一至高的價值 , 隱私保護為基本人權, 隱私保護需與其他重要的價值取得平衡 , 以上皆是,201211,,
Ans1,28. 自 2012-10-01 開始施行的「個人資料保護法」，共有 56 條，其中第 6 條規定「有關醫療、基因、性生活、健康檢查及犯罪前科之個人資料，不得蒐集、處理或利用」，是直接與醫療有關的條文。而「個人資料保護法」的精神是「在充分告知下行使之同意權(Informed Consent)」，請問此精神簡稱為何? (*195), 知情同意權 , 知情告知權 , 資訊授意權 , 資訊告知權,201211,,
Ans4,29. 資料庫之應用可以依資料與使用者的關係可分為三種形式，下列何者不屬於這三種形式? (*196), 公開資料庫 , 資料中心 , 多資料庫連結 , 索引資料庫,201211,,
Ans1,30. 下列那一項不是專案(Project)規劃必須掌握的三大核心要素之一? (*221),設備 , 期程 , 品質 , 成本,201211,,
Ans3,31. 有關軟體專案(Project) ，下列那一項一般不是專案負責人的職責? (*221-222), 專案期程的規劃 , 專案的監控, 將客戶的需求轉化成系統需求規格 , 安排各項工作負責人,201211,,
Ans4,32. 下列描述何者為非? (*645，647，650), 遠距醫療是結合資訊(電腦)、通信(訊)與醫學(療)知識, 藉由未來如 WiMAX/4G 等高頻寬及高覆蓋率之無線網通訊號，健康照護將可由醫院延伸至社區與居家, 醫院院內建置無線網路、結合行動護理車是希能達成行動醫療服務, 依現有法規，遠距醫療環境只能用於遠距會診，不可用於醫學教學,201211,,
Ans2,33. 在系統測試的程序中，單元測試完成之後續執行步驟為? (*241), 版本測試 , 整合測試 , 平行測試 , 整體測試,201211,,
Ans1,34. 資訊系統測試在「驗收測試」階段，會使用α及β二種測試方式來執行「黑箱測試」，以驗證系統功能是否符合並滿足使用的真正需求。對開發人員而言，下列α及β測試的描述，何者是正確的? (*241-242), α測試屬於可控制環境下的測試, β測試屬於可控制環境下的測試, α及β測試都屬於可控制環境下的測試, α及β測試都屬於不可控制環境下的測試,201211,,
