Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4
Ans4,1. 新冠肺炎(COVID-19)疫情大爆發，死亡、重症人數創下歷年新高，讓民眾人心惶惶。疫苗可能是預防武漢肺炎最有效的手段之一，因此各界引頸期盼。請問疫苗的英文？(**162), Pathogen , Antibody , Antigen , Vaccine
Ans1,2. 承上題，疫情全球迅速延燒，防疫變成政府重點施政。而思覺失調症患者，思考較封閉，可能不太配合防疫措施，容易造成防疫破口。請問思覺失調症的英文？(**172), Schizophrenia , Delusional Disorder, Exhibitionism , Amnesia
Ans3,3. 承上題，肺炎重症病患，有可能需要執行氣切(氣管切開術)插管。請問氣切的英文？(**42), Pulmonary Fibrosis , Emphysema, Tracheotomy , Pulmonary obstruction
Ans3,"4. 承上題，有些新冠肺炎出現非典型症狀，因此腹瀉也列入武漢肺炎確診通報條件。請問腹瀉的英文？(**10,58,155,188)", Vomiting , Asthma , Diarrhea , Fever
Ans2,"5. 白血病又稱血癌，是鄉土劇中常見的生病橋段。主因骨髓造血細胞產生不正常增生，進而影響骨髓造血功能的惡性疾病。請問白血病的英文？(**37,160)", Thrombocytosis , Leukemia, Splenomegaly , Thyroid cancer
Ans2,6. 知名藝人因嚴重主動脈瓣狹窄，接受傳統主動脈瓣膜置換手術，術後因心臟功能恢復不良過世，引發討論。請問主動脈狹窄的英文？（**32）, Acute Myocardial Infarction , Aortic Stenosis, Varicose Vein , Atrial Flutter
Ans3,7. 子宮脫垂常常伴隨膀胱、尿道、腸子等器官脫垂，造成許多不適與後遺症。近來使用?棘子宮網膜固定術來處置之案例增加。請問子宮脫垂的術語？(**139), Umbilical Prolapse , Prolapse Vagina, Uterine Prolapse , Venereal Disease
Ans2,"8. 骨關節炎好發於負重關節及指關節，因為長久以來關節所承受的負荷及傷害所造成，其中骨關節炎是下列何者？(**7,89,206)", Osteotomy , Osteoarthritis , Osteoporosis , Osteomyelitis
Ans4,9. 平行式組織架構是為了要促進產品的品質而發展出來的ㄧ種組織形式，舊有官僚式的組織形式往往只負責例行的作業，而平行式的組織架構則可用來解決下列那一項？(*17),簡單的問題 ,突發的狀況 ,隱藏的危機 ,複雜的難題
Ans4,10. 臺灣健康雲計畫中，哪一朵子雲是建置全人健康管理平台？例如我的健康讚平台及 App 等。(*39),醫療雲 ,照護雲 ,防疫雲 ,保健雲
Ans3,11. 為能及時有效防治新興傳染病，首需強化及加速我國疫情的哪種能力？(*39),圍堵能力 ,處理能力 ,偵測能力 ,宣傳能力
Ans2,12. 急診系統的重點與門診系統非常類似，但最大差異在急診系統必須具備下列那一項功能？(*53),病歷傳送 ,檢傷分類 ,報告傳輸 ,掛號批價
Ans1,13. 由一群有共同目標的人員或組織在互利的情況下，達到對某些資訊規格的認同及同意，例如DICOM，是屬於哪一種方式所發展的標準？(*63),任務導向標準 ,實質標準,政府強制型標準 ,共識型標準
Ans3,"14. 下列有關 ICD-10-CM 的描述何者有誤？ (*67, 時事題)",長度最長可到七碼 ,長度至少三碼,第一個字元是數字 ,在第 3 個字元後使用小數點
