Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,1.滑手機是現代人生活中的一部分，但有年輕女子因為滑手機時間過長， 眼壓、血壓過高，造成視神經與視網膜水腫，若壓死視神經可能失明。 視網膜的英文是?(**102),Tympanic Membrane , Cornea , Sclera , Retina,201603,(**102),常用醫護術語102
Ans2,2.地震後，災民常會有創傷後壓力症。創傷後壓力症的英文為?(**161),Delusional Disorder , Posttraumatic Stress Disorder, Pedophilic Disorder , Social Phobia,201603,(**161),常用醫護術語161
Ans4,3.臉色蒼白可能是受寒或遇到恐怖事情時精神方面受刺激後，臉部毛細孔變細、微血管收縮及血液循環減慢的結果。 對於病患症狀描述時，所使用的「蒼白」描述為?(**27),Poor , Pain , Pressure , Pale,201603,(**27),常用醫護術語27
Ans3,4.藝人黃安回台就醫，進行冠狀動脈繞道手術，引發社會爭議。冠狀動脈繞道手術的英文是?(**29),Ventricular Septal Defect Repair , Aortic Valve Replacement, Coronary Artery Bypass Graft , Laparoscope Cholecystectomy,201603,(**29),常用醫護術語29
Ans2,5.近來新型 A 型流感造成不少民眾生病及恐慌。流行性感冒的英文是?(**39),Typhoid , Influenza , Allergy , Asthma,201603,(**39),常用醫護術語39
Ans3,6.幽門螺旋桿菌是造成胃潰瘍病因，『胃潰瘍』的英文是?(**47),Pneumothorax , Duodenum Ulcer, Gastric Ulcer , Dentalgia,201603,(**47),常用醫護術語47
Ans1,7.承上題，患者常需要執行胃鏡檢查，胃鏡檢查的英文是?(**55),Gastroscopy , Anoscopy, Proctoscopy , Transesophageal Echocardiography(TEE),201603,(**55),常用醫護術語55
Ans4,8.茲卡病毒感染症主要是經由蚊子叮咬傳播，病原體為?(**時事題),Middle East respiratory syndrome coronavirus, Severe acute respiratory syndrome coronavirus (SARS-CoV), Norovirus, Zika virus,201603,(**時事題),常用醫護術語時事題
Ans4,9.下列哪一種系統功能不是應用在住院管理?(*70),單一劑量系統 ,護理站系統 ,供膳系統 ,檢傷分類系統,201603,(*70),4
Ans4,10.下列哪些系統屬於門診資訊系統?(*70),掛號 ,批價 ,病歷 ,以上皆是,201603,(*70),4
Ans4,11.醫院不論採用何種治療手段、藥物、住院天數，健保就只給醫院同一種給付價格的給付方式，是根據下列何種代碼?(*85),MeSH , DICOM , LONIC , DRGs,201603,(*85),5
Ans3,12.下列何者為錯誤的敘述?(*85-90、時事題),ICD-9 的 9 代表第九版 ,中央健保署目前使用的是 ICD-10, HL-7 的 7 代表第七版 , DICOM 是醫療影像資料的傳輸交換標準,201603,(*85-90、時事題),5
Ans3,13.疾病管制署進行實驗室檢驗結果自動通報系統，如果要採用符合國際標準的檢驗檢查編碼系統，最適合使用下列哪一種代碼系統?(*86),DRG , ICD , LOINC , UMLS,201603,(*86),5
Ans2,14.下列何者不屬於 OSI 網路七層之中?(*87),Physical , UMLS , Network , Session,201603,(*87),5
Ans1,15.衛生福利部長期推動電子病歷交換(EEC)計畫，截至目前為止已完成 EEC 建置的醫院已超過 400 家，其中電子病歷所採用的架構標準是?(*88),CDA , CDB , CDC , CDD,201603,(*88),5
Ans3,16.關於醫療資訊標準推動的好處，下列何者錯誤?(*93),獨立性：可做單獨系統之修改或升級，而不必擔心影響其它系統,交換性：跨醫療院所交換資料無需修改程式或資料庫,整合性：在相同的標準下，不同功能之系統下進行整合，必須把所有系統交由同一廠商承包,提升國內醫療資訊產業競爭力,201603,(*93),5
Ans1,17.資料庫在醫療資訊系統扮演十分重要的角色，下列有關資料庫之敘述何者錯誤?(*98),使用者需要知道存放資料的磁碟實體位置,資料庫是指一群相關資料的集合體，可有效的組織、儲存和查閱相關資料,資料庫必須要有一個資料庫管理系統,資料庫管理系統是介於使用者的中介軟體系統,201603,(*98),6
Ans1,18.三層式資料庫結構將資料庫綱要分為三層，下列哪一層或稱為景觀(View)?(*100-101),外部層 ,概念層 ,內部層 ,實體層,201603,(*100-101),6
Ans4,19.關聯式資料庫的掛號資料表與病人基本資料表是透過病歷號碼互相關聯，下列敘述何者不正確?(*112),病歷號碼在病人基本資料表中，具有唯一性可以作為主鍵(Primary Key),病歷號碼在掛號資料表中不具唯一性，所以不能單獨作為主鍵,對於掛號資料表而言，病歷號碼欄位是參照病人基本資料表的外來鍵(Foreign Key),依照個體完整性限制，病歷號碼在病人基本資料表中可以是空值(Null),201603,(*112),6
Ans1,20.關聯式資料庫的正規化(Normalization)，在實務上為保持執行效率與避免異常間的平衡，通常進行到 3NF 或?(*123),BCNF(Boyce & Codd NF) ,4NF ,5NF ,以上皆可,201603,(*123),6
Ans4,21.資料通訊傳輸速率的單位為 bps，目前常用的區域網路速度大多是 1G(Giga) bps。試問 1Gbps 的網路環境，理論上每秒可傳輸多少 MB(Mega Byte)的資料?(*136),1.25 MB/s ,5 MB /s ,12.5 MB/s ,125 MB/s,201603,(*136),7
Ans1,22.在乙太網路架構下，管理各項網路設備通常使用何種通訊協定進行溝通?(*151),SNMP , SSH , HTTP , SMTP,201603,(*151),7
Ans3,23.經由 X 光的管球及偵測器間相對位置的變化，利用每一個像素的吸收係數，計算產生人體器官的立體幾何外貌，是哪一種醫學檢驗儀器?(*163),超音波 ,心電圖 ,電腦斷層掃描 ,核磁共振,201603,(*163),8
Ans2,24.在使用者、資料、作業系統和電腦來源中設立足夠的關卡，以防範使用者透過程式去存取不是他自己的資料，這種概念是哪種安全目標?(*170),整體性 ,機密性 ,可取用性 ,可靠性,201603,(*170),9
Ans2,25.人工檢查資料輸入是否正確，是屬於下列那種安全管理?(*171),實體安全 ,資料安全 ,程式安全 ,系統安全,201603,(*171),9
Ans4,26.在資訊安全的領域裡，下列那一項是同時針對『實體安全』及『資料安全』的防護措施? (*171),人員定期輪調 ,管制上機次數與時間,保留日誌檔 ,不斷電系統,201603,(*171),9
Ans1,27.資料隱碼攻擊(SQL injection)是駭客常用來入侵網站資料庫的手段，屬於哪一種所需考量的安全目標?(時事題),程式安全 ,系統安全 ,資料安全 ,實體安全,201603,(時事題),時事題
Ans4,28.湯姆克魯斯在電影不可能的任務中，最常入侵的地點就是主機機房，從資訊安全的角度考量屬於何種安全目標?(*171),資料安全 ,系統安全 ,程式安全 ,實體安全,201603,(*171),9
Ans2,29.甚麼樣的連線技術可讓在家中或差旅中工作的使用者，使用公用網路 (例如網際網路)提供的基礎結構存取私人網路上的伺服器?(*179),SNMP , VPN , SSH , HTTP,201603,(*179),9
Ans2,30.對於電子簽章的敘述，下列何者正確(*191),電子簽章是使用自己的公開金鑰對文件進行運算,必須將文件先以一個單向赫序函數處理產生訊息摘要，再以私鑰對訊息摘要進行運算產生電子簽章,接收者如果要檢驗電子簽章的正確性，應該使用自己的私密金鑰進行運算,電子簽章要應用於醫院電子病歷製作，目前還缺乏法源依據,201603,(*191),9
Ans2,31.哪一項工作不屬於資訊系統的細部分析?(*231),資訊範圍分析 ,專案規劃分析 ,系統介面分析 ,功能處理分析,201603,(*231),12
Ans3,32.一般都是採用下列何種測試技術來驗證「系統功能規格書」中細部設計所描述模組的控制路徑正確性?(*245),Alpha 測試 ,Beta 測試 ,白箱測試 ,黑箱測試,201603,(*245),13
Ans3,33.資訊系統的壓力測試是在哪一個測試階段進行?(*246),驗收測試 ,平行測試 ,整體測試 ,單元測試,201603,(*246),13
Ans4,"34.下列對於實施臨床路徑的敘述何者正確?(*25,85)",所有疾病與手術均適合實施,醫院或醫師不必建立自己的臨床路徑,有提高天數增加醫療費用之優點,改進治療成果，提高醫療品質,201603,"(*25,85)",2
Ans2,35.一般系統維護工作可區分為四種，嘗試修改或是新增介面功能來適應外在環境變化的維護作業，主要是屬於下列何者?(*265),矯正性維護 ,適應性維護 ,完善性維護 ,預防性維護,201603,(*265),14
Ans4,36.醫院之運作主要分為醫療事務、醫療照護和經營管理三大項，對於下列管理系統的敘述，何者不正確?(*279),掛號管理和批價管理是屬於醫療事務,醫令管理和藥品管理是屬於醫療照護,績效管理和採購管理是屬於經營管理,住院管理和病歷管理是屬於醫療照護,201603,(*279),15
Ans3,37.對於健康保險的支付制度論病例計酬，下列敘述何者有誤?(*285),APG 適用於門診 ,DRG 適用於住院,HMO 適用於急診 ,RUG 適用於長期照護,201603,(*285),15
