Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,1.來自遙遠王國的費歐娜小姐時常感覺到疲軟倦怠以及呼吸困難，於是來到史瑞克醫院請怪醫黑傑克診治查明原因。其中，在現症用語中對於病患表情描述時，所使用的「倦怠的」是指？(**25),Fascia ,Fatigue ,Fainting ,Flat,201103,(**25),
Ans1,2.承上題，黑傑克醫生懷疑費歐娜小姐可能得了急性心肌梗塞造成呼吸困難， 其中急性心肌梗塞，該醫護術語是指？ (**41),Acute Myocardial Infarction ,Acute Renal Failure,Acute Bacterial Endocarditis ,Acute Rheumatic Fever,201103,(**41),
Ans2,3.心律不整是指? (**45),Asystole ,Arrhythmia,Aromatic ,Neurysm,201103,(**45),
Ans3,4.藥物不良反應一般簡稱為ADR，其全名為：(**19),Alert Drug Reaction ,Affected Drug Reaction,Adverse Drug Reaction ,Advance Drug Reaction,201103,(**19),
Ans1,5.Positron Emission Tomography (PET)是指? (**44),正子斷層造影 ,癌症基因篩檢,內視鏡檢查 ,核磁共振攝影,201103,(**44),
Ans2,6.敗血症是指? (**49),Sacrococyx ,Septicemia,Siphac ,Skeocytosis,201103,(**49),
Ans3,7.常侵犯50 歲以上老年人的骨關節炎是下列何者? (**84),Osteotomy ,Osteoporosis,Osteoarthritis ,Osteomyelitis,201103,(**84),
Ans1,8.2011年的日本地震導致核能電廠幅射外洩，民眾擔心遭污染而引起的白血病是指? (**47),Leukemia ,Erythropenia,Anemia ,Erythremia,201103,(**47),
Ans4,9.下列那項法律與電子病歷較無關係？(*546-551),電子簽章法 ,醫師法 ,醫療法 ,醫事法,201103,(*546-551),
Ans2,10.就法而言，醫院實施電子病歷生效日期為? (*549~552),醫院公開宣告實施電子病歷日期 ,醫院向行文備查實施日期,衛生主管機關准予核備日期 ,經衛生主管機關或授權之機構檢查通過日期,201103,(*549~552),
Ans2,11.行政院衛生署推動病歷中文化，最主要的目的是基於? (*549),提升病歷品質 ,維護病人知的權利,讓病歷公開化 ,使病歷易於交換互通,201103,(*549),
Ans3,12.依衛生署公告各類病歷交換欄位與格式之標準規範，醫院未來製作交換之病歷格式為? (*546),WORD ,PDF ,XML ,開放，無特定,201103,(*546),
Ans4,13.就我國「醫療憑證管理中心」下列描述何者有誤？(*177),以「公開金鑰系統」為基礎,結合使用「醫事機構」憑證 IC 卡來保障民眾就醫之私密性或敏感性資料,結合使用「醫事人員」憑證 IC 卡來保障民眾就醫之私密性或敏感性資料,「醫療憑證管理中心」由健保局主管維運,201103,(*177),
Ans2,14.醫療紀錄之存取控制與一般之資料存取控制有極大的不同。就醫療紀錄之存取控制，下列描述何者為非？(*186),醫療紀錄的產生者是醫師，但其擁有者郤非醫師本人,醫療紀錄資訊與實體病歷的擁有者才有修改之權力,就資料庫角度而言，醫療紀錄之權限授予不以資料表為單位，而常僅是部份的資料,傳統資料存取權限權利取得後即鮮少失去，然醫療人員對於醫療紀錄存取權限取得後，一旦醫療結束後隨即失去,201103,(*186),
Ans1、4,15.就隱私於醫療，下列描述何者為非？(*193-195),除非在緊急下，否則醫療人員不得在未經病人同意下，調閱病人在其他醫院的就醫資料,?私權是個人基本人權的一部份,讀取重大傷病於 IC 卡註記須醫事人員卡係為保障病人?私,?私屬個人資料，受「電腦處理個人資料保護法」的規範,201103,(*193-195),
Ans2,16.就臨床路徑，下列描述何者為非？(*284-286),是醫院因應論病例計酬(DRGs)的重要管理措施之一,應用於門診、急診及住院病人,依病例，預定臨床治療路徑，再依實際治療程序做對照與評估，檢討改善,為醫院達到提昇醫療品質與節制醫療成本之管理效益,201103,(*284-286),
Ans4,17.藥囑類型包括：(*291),長期藥囑(standing order) ,立即給藥藥囑(stat order),需要時使用藥囑(prn order) ,以上皆是,201103,(*291),
Ans2,18.急診常須記錄病人動向，下列何者一般不納入？(*318),自動出院 ,轉門診治療,留觀 ,待床,201103,(*318),
Ans4,19.下列何者非一般加護病房之床邊生理監視器測試並紀錄的項目？(*461),心電圖/呼吸(ECG/respiration) ,血氧飽和濃度(SpO2),心摶輸出量(CO) ,血糖(blood glucose),201103,(*461),
Ans2,20.醫院為評估其顧客、財務、流程及學習等績效指標是否達成其經營之策略及願景，所採用之系統稱為：(*657-667),商業智慧系統(BIS) ,平衡計分卡系統(BSC),知識管理系統(KMS) ,決策支援系統(DSS),201103,(*657-667),
Ans4,21.醫院資訊系統委外開發是醫院目前廣為採用的一種模式，下列何者不是它的優點？(*208),廠商規模 ,廠商經驗 ,廠商專業 ,廠商收費,201103,(*208),
Ans3,22.資訊系統分析在使用需求訪談階段，其所產出的訪談記錄內容必須於訪談後幾天內送交使用者確認？(*214),1 天 ,2 天 ,3 天 ,5 天,201103,(*214),
Ans1,23.站在顧客「知的權利」觀點來看，在資訊系統設計過程中應提供專案進行的_____才是對顧客所購買服務的重要經驗值產品：(*222),狀況分析 ,進度分析 ,系統分析 ,以上皆非,201103,(*222),
Ans3,24.針對系統分析需求結構的思考層面考量，一般不包括下列何者需求？(*225),功能需求 ,績效需求 ,內部界面需求 ,使用者界面需求,201103,(*225),
Ans1,25.一般程式開發階段，程式設計師所必須進行的測試項目以「單元測試」為主，單元測試係以系統中最小單位的程式模組為測試對象，一般採用下列何種技術來測試程式模組中的重要控制路徑，找出程式可能發生的錯誤？(*234),白箱測試 ,黑箱測試 ,α－測試 ,β－測試,201103,(*234),
Ans1,26.一切資訊運作需以保證健保順利申報為依歸，所以一般系統上線習慣訂在每月的那一日為系統正式上線日期，並從午夜零時起正式開始施行新資訊系統的上線工作？(*285),1 日 ,5 日 ,15 日 ,25 日,201103,(*285),
Ans3,27.兩個資料表(table)要產生關聯(relation)，必須要有key，下列描述何者為是？(*113),主鍵的值可重覆,主鍵(Primary Key)的值只要不為NULL即可,被參考資料表所引用的稱為外部參考鍵(Foreign Key),外部參考鍵的值不可重覆,201103,(*113),
Ans3,28.用於問題導向病歷紀錄中的程序，稱之為：(*460),Simple Object Access Protocol ,Symptom Oriented Analysis Process,Subject Object Assessment Plan ,Syndrome Oriented Alert Protocol,201103,(*460),
Ans3,29.全民健保支付制度規劃朝向下列那種計酬為主，對醫院而言，使醫院更注重成本及住院日數控制，以增加效率並維持應有之醫療品質？(*279),論人 ,論量 ,論病例 ,論日,201103,(*279),
Ans4,30.保險醫事服務機構當月份醫療服務案件，應於次月幾日以前檢附才可取得預付款，向健保局申報醫療費用？(*285),5 日 ,10 日 ,15 日 ,20 日,201103,(*285),
Ans1,31.為使病人的用藥更合理，減少病人不必要的藥物費用，促進藥劑科與醫師及護理人員的溝通，大型醫院病房均採行下列那種調劑作業？(*290),單一劑量 ,首日量 ,一次量 ,一日量,201103,(*290),
Ans2,32.醫院資材採購政策通常以下列那種採購居多，它可以降低作業費用，價格上較占優勢，便於分工，利於監督考核，並可配合醫院財務狀況，建立廣泛的供需關係，利於採購程序標準化，減低採購成本？(*298),分批採購 ,集中採購 ,分散採購 ,大量採購,201103,(*298),
Ans2,"33.訊號處理領域的取樣原理(nyquist theorem)說要正確的取得訊號，我們的取樣頻率(sampling frequency)至少必須大於訊號內涵最高頻率的 X 倍""，請問 X 為? (*148)""",1,2,3,4,201103,(*148),
Ans4,34.有關備援與備份的描述下列敘述何者正確: (*161),重要的資料必須有備份,重要不可中斷的服務必須有備援,異地備份與備援主要的目的是希望可承受小區域的重大災變,以上皆是,201103,(*161),
Ans3,35.資訊安全系統為防止使用者透過程式去存取不是他可以存取之資料所採取的控制方法為：(*159),監視控制 ,獨立控制 ,存取控制 ,版本控制,201103,(*159),
Ans2,36.在做遠端資料傳輸時，為避免資料被竊取，我們可以採用何種保護措施？ (*171),將資料壓縮 ,將資料加密 ,將資料解壓縮 ,將資料解密,201103,(*171),
Ans4,37.最近 RSA 公司發布訊息他們的 SecurID 遭受攻擊，對某些客戶可能造成影響，如是公司的資安負責人，下列做法何者正確? (*161),了解公司是否使用 RSA 的 SecureId 產品,與提供資安服務的公司聯繫探詢處理方式,誠實的與客戶溝通目前理解的狀態,以上皆是 ,201103,(*161),
Ans4,38.為了滿足醫學研究倫理要求，需請受試者簽署知情同意書，某研究生為了方便只把簽名欄給受試者簽名，並沒有讓受試者閱讀說明文件，這樣做： (*195),合乎知情同意要求 ,為了節省時間是可以接受的作法,重點是要有簽名 ,以上皆非,201103,(*195),
Ans2,39.下列哪一種標準是以醫療費用及住院天數為主要編碼考量？(*94),SNOMED ,DRG ,LOINC ,CPT,201103,(*94),
