Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans1,"1. 最近流感疫苗發現有變色，或內有白色懸浮異物況，讓民眾心有疑慮。衛福部強調，幼兒與高齡者是流感併發重症高危險群，仍建議接種疫苗。請問流感疫苗的英文是？(**153,時事題)", Flu vaccine , Measles vaccine , Tamiflu , Relenza,201811,,
Ans2,2. 幽門螺旋桿菌才是造成胃潰瘍病因，「碳十三尿素呼氣試驗」為醫院最常用來偵測幽門螺旋桿菌的方法。『胃潰瘍』的英文是？(**47), Pneumothorax , Gastric Ulcer ., Duodenum Ulcer , Dentalgia,201811,,
Ans1,3. 市長競選電視辯論會上，蜂蜜檸檬水意外成焦點。醫師表示，蜂蜜檸檬水確實可以加強皮膚的修復，但對於腫瘤，應該是沒有這樣神奇的療效。腫瘤的英文是？, Tumor , Blister , Scab , Wart,201811,,
Ans4,4. 原本就有躁鬱症、恐慌症或焦慮症的患者選舉期間要小心，激動的情緒及過重的得失心都可能會誘發病情或是使症狀惡化。躁鬱症的英文是？(**158), Malingering ., Delusional Disorder , Exhibitionism , Bipolar Disorder,201811,,
Ans1,5. 一般出院病歷摘要通常包含主訴、病史、體檢發現、併發症、出院指示與用藥等資訊，其中『併發症』的英文是？(**245), Complications , Laboratory , Radiology ., Chief Complaint,201811,,
Ans2,6. 反空汙公投的主要訴求之一，是 PM2.5 質地小，會引發呼吸道疾病、氣喘、慢性阻塞性肺病、心血管疾病及肺癌。慢性阻塞性肺病的英文是？, Asthma , COPD ., Myocarditis ., Emphysema,201811,,
Ans1,7. 台鐵普悠瑪自強號出軌事故後，許多倖存者有創傷後壓力症。創傷後壓力症的英文為？(**161), Posttraumatic Stress Disorder , Delusional Disorder, Pedophilic Disorder , Social Phobia,201811,,
Ans2,"8. 在台灣，因為骨質疏鬆症的高盛行率，使得國人髖部骨折的發生率位居亞洲第一、世界第九。請問髖關節的英文是？(**81,**85)", Neck Joint , Hip Joint ., Ankle Joint , Knee Joint,201811,,
Ans4,9. 全球健康照護管理核心能力的目標是希望將領導及管理能力專業化，以提升全球健康照護的成果。請問下列何者不屬於 5 大核心能力之一？(*19),專業及社會責任 ,健康及醫療照護環境,經營技巧及原則 ,以上皆屬於 5 大核心能力之一,201811,,
Ans3,10. 衛福部於 2014 年開始推動「臺灣健康雲計畫」，此計畫包含下列哪四朵子雲？(*31),醫藥、衛生、護幼及長照等 .,醫藥、衛生、保健及防疫等,醫療、照護、保健及防疫等 .,以上皆非,201811,,
Ans3,11. 醫院的數位化是實施跨院電子病歷交換的基礎建設，因為全民健康保險的引導，臺灣醫院的數位化已經相當廣泛、深入。大部分醫院電子病歷系統都可以達到 HIMSS EMR adoptionmodel 的第幾級？(*32),第一級和第二級 ,第二級和第三級 ,第三級和第四級 ,第四級和第五級,201811,,
Ans3,12. 以下何者不是醫療雲的主要建設內容？(*32~35),健保雲端藥歷系統 . ,健康存摺,我的健康讚平台及App ,電子病歷交換中心,201811,,
Ans3,"13. 1996 年美國所通過的 HIPAA(Health Insurance Portability and Accountability Act)，以下敘述何者不正確？(*49, 65)",是一個法案 ,對於洩漏病人隱私必須追究責任,規範健康保險應給付的費用 ,主要是管理個人隱私與資料安全保護的課題,201811,,
Ans1,14. 對於常用的醫學詞彙及代碼標準的敘述，下列何者正確？(*68), DRG 主要用於論病例計酬的醫療保險給付, ICD 用於臨床檢驗檢查項目的代碼，由美國國家醫學圖書館(NLM)負責維護, LOINC 是疾病分類代碼, UMLS 是世界衛生組織(WHO)所出版的國際疾病分類代碼,201811,,
Ans3,15. 下列哪一套醫學詞彙代碼系統字詞間的關係是由語意網路來表達，而且具有處理相似詞、相反詞、拼錯字及多國語言的能力？(*68-69), DRG , ICD9-CM ., UMLS , LOINC,201811,,
Ans3,16. 下列那一項有關HL7 的描述是錯誤的？(*70-71),HL7是一種健康資訊的交換標準 ,HL7的7代表第七層的應用層,HL7不支援XML格式 .,HL7是Health Level 7的縮寫,201811,,
Ans2,"17. 下列何者不是由國際 HL7 協會所制定的標準？(*70, 71)",臨床文檔架構(CDA) ,醫療數位影像傳輸標準(DICOM),快速健康照護互操作性資源(FHIR) ,HL7 V2 臨床訊息交換格式,201811,,
Ans3,18. 三層式資料庫結構將資料庫綱要分為三層，下列哪一層用來描述實際的資料庫儲存結構和存取路徑的細部資料？(*84),外部層 ,概念層 ,內部層 ,實體層,201811,,
Ans4,19. 在實務上為保持「執行效率」與「避免異常」間的平衡，通常正規化進行到 3NF 即可，請問3NF 除了要滿足必須是 2NF 外，還要滿足下列哪一項條件？(*101、106),所有多重值相依性都是功能相依性,在資料表綱要中，所有的相依性，X→A，X 必須是超級鍵,所有非主鍵欄位屬性都完全功能相依性於主鍵,非主鍵欄位屬性之間不可以有相依性存在。,201811,,
Ans4,20. 在醫院中透過結合不同類型的感測器(Sensor)形成物聯網，發展出許多智慧醫院的各種應用，物聯網 IOT 的縮寫是下列何者？(*110), Information Object Terminology , Input Output Transaction, International Open Technology , Internet of Things,201811,,
