Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,1. Cellulitis 是糖尿病患者容易患的一種疾病，它是指? (**132), 氣胸 , 蜂窩組織炎 , 腎衰竭 , 視網膜剝離,201411,(**132),常用醫護術語132
Ans1,2. 伊波拉病毒造成恐慌，疫苗之研發積極進行中。請問疫苗的醫護術語是？ (**138), vaccine , vaginitis , treatment , enterorrhagia,201411,(**138),常用醫護術語138
Ans3,3. 選舉期間身心科病患大增，在精神科臨床檢查中對於病患情感描述時，所使用的「Depression」是指? (**145), 冷漠 , 恐慌 , 憂鬱 , 漠不關心,201411,(**145),常用醫護術語145
Ans2,4. 老人常因發燒症狀不明顯，感染不察導致敗血症。敗血症是指? (**49), Sacrococyx , Septicemia , Siphac , Skeocytosis,201411,(**49),常用醫護術語49
Ans4,5. 現代人手機平板的大量使用，造成腕隧道症候群(CTS)人數大增，腕隧道症候群正確說法？ (**8), Carpel Tunnel Syndrome , Carpet Tunnel Syndrome, Carper Tunnel Syndrome , Carpal Tunnel Syndrome,201411,(**8),常用醫護術語8
Ans2,6. 當紅偶像劇中的男主角在戲中得了淋巴癌，造成劇情高潮迭起，其中所謂『淋巴癌』的英文是指？ (時事題), Leukemia , Lymphoma , Lymphadenitis , Swollen Lymph,201411,(時事題),時事題
Ans1,7. 伊波拉病毒感染（EVD）為一嚴重的急性病毒性疾病，於 1976 年首次在赤道附近的蘇丹及鄰近的薩伊出現，病原體是下列何種病毒。(**時事題), Ebola Virus , Epola Virus , Evola Virus , Efola Virus,201411,(**時事題),常用醫護術語時事題
Ans1,8. Tomo Therapy 是目前醫界治療癌症的新利器，指的是(時事題), 導航式螺旋刀治療 ,光子刀治療, 影像導航放射治療 , 強度調控放射治療,201411,(時事題),時事題
Ans2,9. 關聯式資料庫(relational database)的資料表(table)可視為一個幾維的資料表格。 (*109), 一維 , 二維 , 三維 , 四維,201411,(*109),6
Ans1,10. 對於藍芽技術的敘述，下列何者不正確？ (*147), 是屬於有線傳輸，設備之間連接有標準規格的傳輸線, 屬於低功率近距離的傳輸, 利用射頻來建立連結，可達每秒 1M 的傳輸率, 可以應用在醫療量測儀器和電腦之間的資料傳輸,201411,(*147),7
Ans4,11. 下列何者不是生理訊號處理常用的技術？ (*158), 雜訊去除 , 訊號特徵擷取 , 資料壓縮 , 影像切割,201411,(*158),8
Ans2,12. 防火牆的資料封包過濾器，主要是針對網路的哪一個層級的應用進行防禦？ (*174), 實體層和資料鏈結層的網路接線方式, 網路層的 IP 位址和傳輸層 TCP/UDP 埠號, 應用層的惡意傳播電子郵件病毒, 應用層的網頁木馬程式,201411,(*174),9
Ans2,13. 下列何者不是可行的隱私保護技術？ (*205), 公開資料庫之前，先進行去識別化(Deidentification), 調閱病歷資料前，先使用病人的健保 IC 卡簽章表示同意, 建構虛擬資料中心，稽核及分析使用者上傳的處理程序, 以多方私密計算(multiparty secure computation)處理資料庫連結的問題,201411,(*205),10
Ans4,14. 下列哪一個不屬於可識別的個人資料（personally identifiable data）？(*205), 身分證號碼 , 病歷號碼 , 性別 , 以上皆非,201411,(*205),10
Ans2,15. 資訊系統發展的各個階段會產生不同文件，下列敘述何者正確 ？(*225), 系統設計階段會產生初步設計規範書, 系統分析階段會產生系統需求規格書, 系統發展階段會產生系統規格說明書, 系統推行階段會產生程式說明書,201411,(*225),12
Ans1,16. 一般醫院資訊系統建置專案的系統維護期間普遍以一年為原則，主要是進行哪一種維護？ (*266), 矯正性維護 , 適應性維護 , 完善性維護 , 預防性維護,201411,(*266),14
Ans1,17. 下列何者是健保論病例計酬支付制度的優點？ (*286), 實際反映不同醫院病例組合的差異, 行政成本低, 醫師的醫療行為自主權高, 可促進醫療資源合理分布,201411,(*286),15
Ans1,18. 某民眾因車禍頭部重創且已陷入昏迷，被救護車送至醫院急診室立即開刀處理，請問這位民眾的檢傷分級屬於下列哪一級？ (*314), 第一級 , 第三級 , 第四級 , 第五級,201411,(*314),16
Ans4,19. 一般醫院對出院病歷的規定是於病人出院後 24 小時內或 3 天內病歷需送回病歷室，且醫師必須於規定期間內主動到病歷室補全未完成之記錄，請問規定是幾天？ (*345-346), 一般是 1 天 , 一般是 3 天 , 一般是 5 天 , 一般是 7 天,201411,(*345-346),17
Ans4,20. 在檢驗資訊系統中，醫檢師管理需求有所謂 delta check，請問其意義為何？ (*363-364), 將檢驗結果與設定的檢驗危險值比較, 將檢驗結果與正常值做比對, 將檢驗結果與校正值做比對, 將檢驗結果與病人過去的結果做比對,201411,(*363-364),18
Ans2,21. 在藥物資訊系統中，有提供用藥警示功能，請問藥物交互作用警示是為了避免何種狀況？ (*378), 重複處方 , 藥物不良事件 , 藥物過量 , 以上皆非,201411,(*378),19
Ans2,22. 下列何者不是一般床邊監視器記錄的生理參數？ (*417), 血壓 , 血糖 , 血氧飽和濃度 , 呼吸,201411,(*417),21
Ans3,23. 下列哪一個屬於護理資訊系統中建置護理措施及護理結果的標準依據? (*429), SNOMED , NHIRD , NANDA-I , NLM,201411,(*429),22
Ans3,24. 診間醫令系統的 SOAP 資料輸入，請問 SOAP 中的 P 代表? (*460), Protocol , Procedure , Plan , Process,201411,(*460),24
Ans2,25. 下列何者並非住院套裝醫令設計的分類? (*470), physician order sets , hospital order sets, system order sets , official order sets,201411,(*470),25
Ans3,26. 對於臨床路徑的敘述，下列何者不正確？ (*482), 根據某種疾病或某種手術方法制定了一種治療模式，讓病患由住院到出院都依此模式來接受治療, 路徑完成後，根據結果來分析、評估及檢討每一個病人的差異，以避免下一個病人發生同樣的差異或錯誤, 通常選擇病患少的疾病或手術來建立臨床路徑, 是希望找出最符合成本效益的治療模式,201411,(*482),25
Ans3,27. 下列何者並非臨床路徑建立的步驟？ (*486-488), 找尋基準醫師 , 由 DRGs 選擇目標, 建立醫令集 , 建立自己的臨床路徑,201411,(*486-488),25
Ans2,28. 所謂及時疫情監測及預警系統(RODS)，以下敘述何者不正確？ (*528), 為 Real-time Outbreak Disease Surveillance system 的縮寫, 將收集到的資料自動傳送到衛福部國民健康署分析, 每日自動收集醫院急診室求診病人的主訴、ICD-9-CM 診斷碼、體溫、年齡別和醫院別等資料, 監測症狀包括類流感、腸病毒、紅眼症、胃腸道及急性腹瀉為主,201411,(*528),27
Ans3,29. 當門診醫生於看病時，診斷病人有類似伊波拉病毒感染症狀，依法規醫院必須於規定時限內通報下列何單位？ (*528), 衛福部國民健康署 , 衛福部食品藥物管理署, 衛福部疾病管制署 , 衛福部中央健康保險署,201411,(*528),27
Ans2,30. 下列哪一個不屬於電子病歷的特質？ (*536-537), 複雜的文件 , 公開的文件, 延續照護的可信賴資料來源 , 以上皆非,201411,(*536-537),28
