Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans3,1.自動體外心臟電擊去顫器，能夠自動偵測傷病患心律脈搏、並施以電擊使心臟恢復正常運作的儀器。其英文標誌是?(時事題),ABC ,ACD ,AED ,ASD,201511,
Ans4,2.八仙塵爆造成許多傷燙傷患者需要接受植皮手術，植皮手術英文是?(時事題),Skeocytosis ,Sacrococyx ,Siphac ,Skin Grafting,201511,
Ans2,3.何者是指注意力缺失與過動障礙?(**158),ADID ,ADHD ,SNOMED ,MeSH,201511,
Ans4,4.Glaucoma 是指?(**108),高血糖症 ,黃疸 ,貧血 ,青光眼,201511,
Ans4,5.何者是指骨盆腔的肌肉、韌帶及各層結締組織鬆弛後，子宮因地心引力牽扯而往下掉， 並且常常伴隨膀胱、尿道、腸子等器官脫垂，造成許多不適與後遺症?(**135),Umbilical Cord Prolapse ,Venereal Disease,Prolapse Vagina ,Uterine Prolapse,201511,
Ans3,6.天才與精神病患往往僅是一線之隔。研究指出，作家、舞蹈家和攝影師等創意工作者，罹患躁鬱症的機率比常人高，但在受心魔折磨的過程中，卻又享有異於常人的創造力。躁鬱症(亦稱雙極性疾患)的英文是?(**158), Depressive Disorder ,Dementia , Bipolar Disorder ,Exhibitionism,201511,
Ans1,7.八仙氣爆案傷者由於許多人都是大面積燒傷，患者陸續出現感染、發燒狀況引發敗血症。敗血症英文是指?(**7),Septicemia ,Sinusitis ,Pyothorax ,Dyspepsia,201511,
Ans2,8.Carpal Tunnel Syndrome 是指?(**8),蜘蛛膜下腔出血 ,腕隧道症候群 ,心房撲動 ,蜂窩組織炎,201511,
Ans3,9.Magnetic Resonance Imaging (MRI) 是指?(*164),內視鏡檢查 ,癌症基因篩檢 ,磁振造影掃描 ,正子斷層造影,201511,
Ans2,10.資料庫的三層綱要架構中，哪一層常使用實體關聯模型(Entity-Relationship Model; ERM)的工具設計?(*101),外部層 ,概念層 ,內部層 ,實體層,201511,
Ans1,11.DBMS 中關於交易（Transaction）的特性，下列敘述何者錯誤?(*103),交易過程中資料庫必須保持一致性,整個交易指令視為一個不可分割的單元,交易過程中所用到的資料不可受到其它交易讀取或修改,交易確認執行後對資料庫的更新是永久性的,201511,
Ans3,12.醫療機構之組織型態將會影響機構的營運與效率。臺灣目前醫院之組織型態大多屬於何種形式?(*11), 矩陣式 ,專科式 , 功能式 ,平行式,201511,
Ans3,13.關聯式資料庫的掛號資料表與醫師資料表是透過醫師代碼互相關聯，下列敘述何者正確?(*112),醫師代碼在掛號資料表中，可以作為主鍵(Primary Key),醫師代碼在掛號資料表中，具有唯一性,對於掛號資料表而言，醫師代碼欄位是參照醫師資料表的外來鍵(Foreign Key),依照個體完整性限制，醫師代碼在醫師資料表中可以是空值,201511,
Ans4,14.下列何者可做為關聯式資料庫的資料表主鍵(Primary Key)(*112),身份證號碼 ,員工代碼 ,學號 ,以上皆可,201511,
Ans4,15.下列何者是指在資料庫設計時，會遵循相同的設計模式，檢查資料是否重複存放，其目的是建立「良好結構的關聯表」，這是一種沒有重複資料的關聯表，而且在新增、刪除或更新資料時，不會造成錯誤或資料不一致?(*115),最小化(Minimization) ,最佳化(Optimization),視覺化(Visualization) ,正規化(Normalization),201511,
Ans1,16.下列何者是超高速乙太網路(Gigabit Ethernet)採用的通訊協定? (*144),CSMA/CD ,Token-Ring ,IEEE 802.4 ,IEEE 802.11,201511,
Ans4,17.在乙太網路架構下，管理各項網路設備通常使用何種通訊協定進行溝通?(*151),SCJP ,SCWCD ,SNOMED ,SNMP,201511,
Ans3,18.醫療資訊大約可分為三類，通常心電圖和腦波圖屬於哪一類?(*156),文數字資料 ,影像資料 ,生理訊號 ,3D 動畫,201511,
Ans2,19.在分析生理訊號時，如果想要濾除高頻雜訊，應該使用何種濾波器?(*158),高通濾波器 ,低通濾波器 ,帶通濾波器 ,帶限濾波器,201511,
Ans1,20.資訊安全的目標有所謂的 C.I.A.三原則，是指下列何者?(*170),保護資料及系統資源的機密性、整體性和可取用性,保護資料、系統和設備不要被駭客攻擊,資料的加密、解密和密鑰管理,防火牆、虛擬私有網路和認證中心,201511,
Ans3,21.醫療資訊安全的宗旨在保護資料及系統的機密性、整體性及可取用性。下列敘述何者錯誤?(*170),機密性的目標在保護病患隱私,整體性的目標是資料必須保持一致性以及有意義的正確結果,可取用性：資料及系統不需即時回應,可取用性：具有容錯能力,201511,
Ans1,22.下列關於一般防火牆的敘述何者錯誤?(*175),可比對入侵行為特徵碼,可過濾封包來源及目的 IP 位址是否合法,可改變進出交通的 IP 位址,可過濾封包是否使用合法的 TCP/UDP 埠號,201511,
Ans4,23.我國目前在中央健保署運作的電子病歷交換網路採用何種網路技術傳輸資料，並設有多道防火牆來降低駭客入侵系統或盜取資料之風險?(*175-179、時事題),SOAP ,Proxy ,SNMP ,VPN,201511,
Ans1,24.目前我國二代健保卡採用何種公開金鑰演算法來保護個人資料?(*184),RSA ,DES ,RC4 ,MD5,201511,
Ans4,25.以下對於公開金鑰基礎建設(PKI)的敘述，何者正確?(*185),公開金鑰可以用來進行電子簽章,公開金鑰是為了開啟分享的資料檔案,是一種駭客用來破解密碼的方法,傳送者可以取得接收者的公開金鑰，將資料加密後再傳送,201511,
Ans4,26.醫院資訊系統委外開發為目前廣被醫院採用的一種模式，下列何者是委外大型廠商開發的優點?(*215),大型廠商經驗豐富 ,大型廠商議價占優勢,大型廠商設備齊全 ,已上皆是,201511,
