Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,"1. The suffix -oma, like in the word hemangioma, is defined as:(**4)",pain ,tumor ,inflammation ,coma,200811,,
Ans1,"2. The suffix -osis, like in the word osteoporosis, is defined as: (**4)",disease condition ,inflammation ,pain ,injury,200811,,
Ans1,"3. The prefix meta-, like in the word metastasis, is defined as: (**5)",beyond ,behind ,small ,new,200811,,
Ans3,"4. The prefix dys-, like in the word dyspnea, is defined as: (**3)",inflammation ,disease condition ,abnormal ,over excessive,200811,,
Ans2,5. uHealthcare means: (*33),Unique Healthcare ,Ubiquitous Healthcare,Unified Healthcare ,Universal Healthcare,200811,,
Ans4,6.藥物不良反應一般簡稱為ADR，其全名為：(*19),Affected Drug Reaction ,Alert Drug Reaction,Advance Drug Reaction ,Adverse Drug Reaction,200811,,
Ans1,7.全靜脈營養注射簡稱為：(*23),TPN ,PPN ,TSN ,PVT,200811,,
Ans1,8. Cyberphobia means: (**7),Technophobia ,Netphile ,Acrophobia ,Homophobia,200811,,
Ans2,9.狂犬病：(**7),Cynophobia ,Hydrophobia ,Acrophobia ,Homophobia,200811,,
Ans4,10.腕隧道症候群(CTS)：(**8),Carpel Tunnel Syndrome ,Carpet Tunnel Syndrome,Carper Tunnel Syndrome ,Carpal Tunnel Syndrome,200811,,
Ans1,11. PDCA 循環是指：(*29),"Plan, Do, Check, Action ","Plan, Do, Check, Assess","Plan, Document, Check, Action ","Plan, Do, Control, Action",200811,,
Ans1,12.兩個資料表(table)要產生關聯(relation)，必須要有key，下列描述何者為是：(*6),被參考資料表所引用的稱為外部參考鍵(Foreign Key),主鍵(Primary Key)的值只要不為NULL即可,主鍵的值可重覆,外部參考鍵的值不可重覆,200811,,
Ans3,13.用於問題導向病歷紀錄中的程序，稱之為：(*24),Simple Object Access Protocol ,Symptom Oriented Analysis Process,Subject Object Assessment Plan ,Syndrome Oriented Alert Protocol,200811,,
Ans1、3,"14.美國病歷協會(MRI)將電子病歷發展分病歷自動化(AutomatedMedical Records, AMD)、電腦化病歷系統(Computerized Medical Record System,CMR)、電子病歷(Electronic Medical Record, EMR)、電子病患資料系統(ElectronicPatient Record System, EPR)、及電子健康資訊系統(Electronic Health Record,EHR)五階段，目前醫療院所病歷發展大都在什麼階段?(*2)",電腦化病歷系統(CMR) ,電子病患資料系統(EPR),電子病歷(EMR) ,電子健康資訊系統(EHR),200811,,
Ans4,15.電子病歷可應用在：(*28),提供照護病人的重要資訊 ,保險機構核付醫療費用的主要依據,司法裁判及醫事鑑定的主要證據 ,以上皆是,200811,,
Ans2,16.最廣泛的資料庫管理系統(DBMS)的系統架構為何?(*6),網狀式(Network) ,關聯式(Relational),階層式(Hierarchical) ,以上皆非,200811,,
Ans3,17.使用資料庫管理系統(DBMS)時，為避免資料異常(Anomaly)發生，將資料分成多個資料表(Table)儲存的正規化(Normalization)過程，並用參考鍵(Key)以組合(Join)還原，但必須考慮：(*6),有條件組合(Constraint-Join) ,關聯式組合(Relational-Join),無損失組合(Lossless-Join) ,以上皆非,200811,,
Ans3,18.無線區域網路的安全機制應考慮 CAI(不是美國中情局)，C 表示為資料保密性(Confidentiality)， I 表示為資料完整性(Integrity)，而 A 表示為何?(*7),授權性(Authorization) ,可利用性(Availability),認證性(Authentication) ,以上皆非,200811,,
Ans2,19.在網路管理目前均採用簡易網路管理通訊協定(Simple NetworkManagement Protocol SNMP)，由管理端、被管理端、MIB 值、通訊協定四個元件組成，試問 MIB 值為何?(*7),人機介面基礎(Man-machine Interface Basis),管理訊息庫(Management Information Base),金錢利益結合(Money Interests Bond),以上皆非,200811,,
Ans4,20.電子化醫院資訊管理系統建置程序中，包括設計、程式撰寫及測試等步驟，而設計步驟包括：(*12),資料設計(Data Design) ,程序設計(Procedure Design),界面設計(Interface Design) ,以上皆是,200811,,
Ans4,21.醫院財務管理之目的是以有效的管理理財及投資活動，獲得合理的利潤及善盡社會責任，使醫院茁壯成長及永續經營，可由資產負債表及損益表了解醫院營運財務狀況。以下何項對財務比率的資產活動力說明錯誤?(*15),應收帳款週轉率=銷貨/平均應收帳款,平均收帳期間=365/應收帳款週轉率,存貨週轉率=銷貨成本/存貨,平均存貨期間=銷貨/應收帳款,200811,,
