Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,1. 現代人手機平板的大量使用，藍光可能對視網膜造成傷害，請問視網膜的英文？(**99),Sclera ,Retina ,Cornea ,Conjunctiva,201804,(**99),常用醫護術語99
Ans1,2. 承上題，白內障發生的年輕化，也被懷疑與此有關。白內障的英文？,Cataract ,Astigmatism .,Myopia ,Amblyopia,201804,null,null
Ans1,3. 麻疹疫情延燒，引起民眾恐慌，「自費施打疫苗」的人數暴增。麻疹的英文是？,Measles ,Herpes ,Polio ,Leprosy,201804,null,null
Ans1,4. 承上題，請問疫苗的醫護術語是？(**138),Vaccine ,Vaginitis ,Treatment ,Enterorrhagia,201804,(**138),常用醫護術語138
Ans2,5. 進口高級茶農藥「賽果培」超標。賽果培是新尼古丁類殺蟲劑，被世界衛生組織歸為「中度危險」致癌物，在動物實驗中會增加甲狀腺、子宮、卵巢腫瘤風險。其中卵巢是指？(**62),Testis ,Ovary .,Breast ,Pancreas,201804,(**62),常用醫護術語62
Ans2,6. 電燒手術在心律不整治療中是非常重要的一環，而台灣在這方面有國際上的優勢。心律不整是指？(**45),Asystole .,Arrhythmia ,Aromatic ,Neurysm,201804,(**45),常用醫護術語45
Ans3,7. 1981 年兩位澳洲醫師巴裡馬歇爾和羅賓沃倫發現幽門螺旋桿菌才是造成胃潰瘍病因，而非過去熟知的壓力或生活不正常等因素。『胃潰瘍』的英文是？(**47),Pneumothorax ,Duodenum Ulcer .,Gastric Ulcer ,Dentalgia,201804,(**47),常用醫護術語47
Ans4,8. 一般出院病歷摘要通常包含主訴、病史、體檢發現、併發症、出院指示與用藥等資訊，其中『主訴』的英文是？(**245),Complications ,Laboratory ,Radiology ,Chief Complaint,201804,(**245),常用醫護術語245
Ans1,9. 健康資訊產業整合(IHE)標準的技術架構文件，將醫療作業流程以下列何者來描述？(*669),角色(Actors)和交易(Transactions),實體(Entity)和行為(Act),角色(Role)和參與(Participation),行為關係(Act relationship)和角色連結(Role link),201804,(*669),35
Ans4,10. 健康資訊產業整合標準(IHE)定義及公布的技術規範，是希望醫療資訊系統應具備哪一種特性？(*666),Availability(可用性) ,Confidentiality(機密性),Integrity(完整性) ,Interoperability(互操作性),201804,(*666),35
Ans2,11. 醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主？(*653),"開放資料庫連結(Open Database Connectivity, ODBC)","線上分析處理(Online Analytical Processing, OLAP)","線上交易處理(Online Transaction Processing, OLTP)","開放系統互連標準(Open System Interconnection Standard, OSIS)",201804,(*653),34
Ans1,12. 下列何者不是我國疾病管制署目前的疾病監測資訊系統？(*527),高風險孕產婦健康管理系統 ,肺炎及流感死亡即時監測系統,病毒性感染症合約實驗室監視系統 ,學校傳染病監視通報系統,201804,(*527),27
Ans4,"13. 世界衛生組織(WHO)近日公布 2018 年可能爆發的全球傳染流行疾病，除了已知的病毒，還有下列哪一種神秘病毒，專家警告無法確切指出這種疾病是什麼，但其爆發條件已經成熟，該病毒有可能迅速傳播？(*527~531,時事題)",伊波拉病毒(Ebola) ,茲卡病毒(Zika),拉薩熱病毒(Lassa) ,X 疾病(Disease X),201804,"(*527~531,時事題)",27
Ans3,14. 下列那一項並非 JCAHO 建議的病人安全目標之一？(*509),增進輸液幫浦之使用安全 ,醫療服務者間之有效溝通,以物聯網技術防止醫院暴力 ,增進藥物之用藥安全,201804,(*509),26
Ans2,15. 套裝醫令可以減少醫師開立醫囑的時間，通常分為三種，其中不包括下列哪一種？(*470),個人套裝醫令(Physician Order Sets) ,病人套裝醫令(Patient Order Sets),系統套裝醫令(System Order sets) ,部門套裝醫令(Official Order sets),201804,(*470),25
Ans1,16. SOAP 是診間醫令系統的主要資料輸入作業，請問其中的 P 是代表？(*460),Plan ,Procedure ,Package ,Protocol,201804,(*460),24
Ans3,17. 對於住院管理的敘述，下列何者不正確？(*447),單一劑量調劑作業(Unit Dose)主要是應用在住院藥局,臨床路徑主要是用於住院或手術病人的治療模式,住院病人的飲食醫囑，主要是由營養師開立,DRG 適用於住院論病例計酬保險申報,201804,(*447),23
Ans3,18. 許多醫療機構護理資訊系統的架構，還是以下列何者之護理問題及內容為護理過程及護理資料庫建置的基礎？(*425),CANDA ,LANDA ,NANDA , PANDA,201804,(*425),22
Ans3,19. 加護病房資訊系統最常利用下列何種評分系統來判斷預後的臨床指標？(*415~416),BMI(Body Mass Index),ADL(Activities of Daily Living),APACHE(Acute Physiology and Chronic Health Evaluation),IADL(Instrumental Activities of Daily Living),201804,(*415~416),21
Ans2,20. 藥物不良反應(adverse drug reaction; ADR)可以分為三個等級，其中僅延長病人住院時間，未造成病人不舒服者屬於下列何者？(*392),無藥物不良反應 ,輕度的不良反應,中度的不良反應 ,嚴重的不良反應,201804,(*392),19
