Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,1. 女童患異位性皮膚炎，至樂園玩，因其他家長懷疑是水痘結痂、擔心傳染給其他小朋友，女童遭業者拒於門外…水痘的英文是？(**152),Jaundice ,Diphtheria,Eczema ,Chicken Pox,201704,(**152),常用醫護術語152
Ans4,2. 躁鬱症又稱雙極性疾患，如果病人有傷害自己或他人的風險，有強制治療的必要。躁鬱症的英文是？(**158),Malingering ,Delusional Disorder,Exhibitionism ,Bipolar Disorder,201704,(**158),常用醫護術語158
Ans3,3. 某資深藝人大腸癌開刀，佔據媒體大量版面。大腸癌的英文是？(**58),Lung cancer ,Liver cancer,Colon cancer ,Breast cancer,201704,(**58),常用醫護術語58
Ans2,4. 現代人手機平板的大量使用，藍光可能對視網膜造成傷害，請問視網膜的英文是？(**99),sclera ,retina ,cornea ,conjunctiva,201704,(**99),常用醫護術語99
Ans2,5. 肺癌、腫瘤壓迫呼吸道、心臟衰竭、貧血或肺部感染等都有可能引起呼吸困難，其中「呼吸困難」的英文是？(**39),Croupy ,Dyspnea ,Asthma ,Influenza,201704,(**39),常用醫護術語39
Ans2,6. 老人常因發燒症狀不明顯，感染不察導致敗血症。敗血症的英文是？(**49),Sacrococyx ,Septicemia ,Siphac ,Skeocytosis,201704,(**49),常用醫護術語49
Ans1,7. 一般出院病歷摘要通常包含主訴、病史、體檢發現、併發症、出院指示與用藥等資訊，其中『併發症』的英文是？(**245),Complications ,Laboratory ,Radiology ,Chief Complaint,201704,(**245),常用醫護術語245
Ans3,8. 骨關節炎好發於負重關節及指關節，通常發生在 45 歲以後，因為長久以來關節所承受的負荷及傷害所造成，其中骨關節炎的英文是？(**84),Osteotomy ,Osteoporosis ,Osteoarthritis ,Osteomyelitis,201704,(**84),常用醫護術語84
Ans2,9. 對於常用的醫學詞彙及代碼標準的敘述，下列何者正確？(*85),ICD 用於臨床檢驗檢查項目的代碼，由 HL7 標準組織負責維護,DRG 主要用於論病例計酬的醫療保險給付,LOINC 是美國國家醫學圖書館專為醫學文獻分類所設計的樹狀詞彙系統,SNOMED 是世界衛生組織(WHO)所出版的國際疾病分類代碼,201704,(*85),5
Ans1,10. 中央健保署已開始實施國際疾病分類第十版 ICD-10-CM/PCS，請問其中的 PCS 代表？(85，時事題),Procedure Coding System,Process Coding System,Progress Coding System,Program Coding System,201704,(*85，時事題),5
Ans4,11. 醫院不論採用何種治療手段、藥物、住院天數，健保就只給醫院同一種給付價格的給付方式，是根據下列何種代碼？(*85),MeSH ,DICOM ,LONIC ,DRGs,201704,(*85),5
Ans4,12. 下列哪一套醫學詞彙代碼系統字詞間的關係是由語意網路來表達，而且具有處理相似詞、相反詞、拼錯字及多國語言的能力？(*87),DRG ,ICD9-CM ,LOINC ,UMLS,201704,(*87),5
Ans4,13. 臨床文檔架構(CDA) 是由哪一個國際組織所制定的醫療資訊交換標準？(*88),美國放射科醫學會與國家電機製造協會(ACR-NEMA),健康資訊產業整合協會(IHE),美國健康資訊管理系統協會(HIMMS),國際健康資訊第七層協定協會(HL7),201704,(*88),5
