Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans2,"1.在現症用語中對於病患表情描述時，所使用的「倦怠的」是指 (**25)","Fascia ","Fatigue ","Fainting ",Flat
Ans1,"2.主要是因身體老化和生活習慣不良或車禍受傷所導致的椎間盤突出是 (**4)","HIVD ","HHNK ","FESS ",HCVD
Ans4,"3.發現就診之病患是因心臟性呼吸困難，該醫護術語是 (**27)","Nasal Dyspnea","Inspiratory Dyspnea","Expiratory Dyspnea",Cardiac Dyspnea
Ans1,"4. Acute Myocardial Infarction 在醫護術語中是指 (**41)","急性心肌梗塞","急性腎衰竭","急性細菌性心內膜炎",急性風溼熱
Ans3,"5.使用六分鐘護一生發現罹患子宮頸癌，而須進行子宮切片為下列何者 (**107)","Cervical Erosion","Cerebral Embolism","Cervical Biopsy",Cerebral Edema
Ans3,"6.現代社會生活壓力大的情況下，所造成的神經精神病為下列何者 (**152)","Neutral ","Neurotic ","Neurosis ",Neuritis
Ans2,"7.下列何者為肌電圖之縮寫 (**208)","ECG ","EMG ","EEG ",ENT
Ans2,"8.常侵犯 50 歲以上老年人的骨關節炎是下列何者 (**84)","Osteomyelitis","Osteoarthritis","Osteoporosis",Osteotomy
Ans4,"9. PDCA 循環是指 (*567)","Plan， Do， Control， Action","Plan， Do， Check， Assess","Plan， Document， Check， Action",Plan， Do， Check， Action
Ans1,"10. 世界衛生組織在其 1999 年及 2000 年的年報中已清楚揭示前瞻性醫療支付制度為21 世紀的趨勢與潮流，請問下列何者最適合台灣全民健保未來所採取的制度 (*28)","論人計酬制度 ","論量計酬制度","總額預算",以上皆非
Ans2,"11. 那一項不是電子簽章的立法原則 (*182)","技術中立原則","不可見偽裝原則","市場導向原則",契約自由原則
Ans4,"12.雲端運算(Cloud Computing)技術未來可應用到 EHR 需求上，請問下列何者是正確的描述 (*67)","雲端運算是一種概念，代表的是利用網路使電腦能夠彼此合作或使服務更無遠弗屆","雲端運算類似網路也類似網路運算","雲端運算類似分散式運算(Distributed Computing) 也類似網格運算(GridComputing)",以上皆是
Ans2,"13.台灣「全民健保不能倒，電子病歷要做好」。但下列何者不是電子病歷的主要重點(*540)","醫療照護的延續","醫療品質的控管","醫事訴訟的證據",醫療給付的依據
Ans4,"14.那一項個人醫療資訊隱私的描述是不正確的 (*193-195)","欲使用個人資料需取得其同意，即在充分告知下行使之同意權","落實隱私權的核心概念是個人資料由個人控制","個人資料受到保護就如同個人身體需受尊重一樣，其核心概念是尊重個人的自主權",隱私權是僅為保障個人不可告人之祕密的權利
Ans1,"15.下列何者不屬於病人安全之六大目標 (*508)","提昇環境衛生","落實院內感控","預防病人跌倒",鼓勵異常事件通報
Ans4,"16.針對系統內部軟體錯誤的維護性工作，稱為 (*260)","預防性維護","完善性維護","適應性維護",矯正性維護。
Ans2、4,"17.資訊系統的黑箱測試是在那一個測試階段進行 (*241)","單元測試 ","驗收測試 ","平行測試 ",整合測試
Ans3,"18.正規化(Normalization)最常使用於下列何種資料庫結構 (*116)","網狀式 ","階層式","關聯式 ",物件導向式
Ans1、4,"19.對急診檢傷而言，下列敘述何者為非 (*313)","目前分為四級","級數越低代表越緊急","第二級為符合急診條件，雖不危及生命，但應在十分鐘之內處理",未來檢傷將分為六級
Ans1,"20.用於問題導向病歷紀錄中的程序，稱之為 (*458)","Subject Object Assessment Plan","Symptom Oriented Analysis Process","Simple Object Access Protocol",Syndrome Oriented Alert Protocol
Ans4,"21.大多數的醫學資訊標準多為 (*90)","任務導向標準 ","實質標準","政府強制型標準 ",共識型標準
Ans3,"22.企業醫療資訊整合(Integrating the Healthcare Enterprise，IHE)其目的為 (*99)","解決醫院內標準碼缺乏一致性","提供醫療影像標準","解決醫療儀器間無法互通的問題",解決 ISO 與 HL7 標準之矛盾
Ans2,"23.下列何者不是醫療詞彙或疾病分類標準 (*92)","SNOMED ","XML","UMLS ",ICD-9-CM
Ans4,"24.下列有關 post-coordination 的代碼組合法的敘述何者有誤 (*93-96)","比 pre-coordination 組合法有較高的擴充性","維持一致性比 pre-coordination 困難","UMLS 中可用其產生新詞",適合未來變動較小的領域
Ans1,"25.有些醫院會將今日門診病患之姓名遮去其中一個字而非像過去完全顯示出來，這樣做可提昇資料之 (*161)","機密性 ","整體性","可取用性 ",不可否認性
Ans4,"26.緊急醫療管理系統是用那一種標準來傳送各醫院的空床通報 (*326)","DICOM ","LOINC","SNOMED ",HL7
Ans2,"27.那一項不是醫材採購庫存管理系統的主要資料 (*299) ","資材基本資料","護理站數目資料","廠商供料資料",廠商基本資料
Ans3,"28.若您為某醫院之資訊長，某日突然收到訊息貴院所用之加密演算法遭破解，下列何者作為較合宜 (*191-199)","立即將所有系統關閉改為手動","停止接受健保 IC 卡","透過原已建立之管道了解事情原委，並加強監控",不管他
Ans4,"29.有關防火牆之敘述何者正確 (*165)","裝置防火牆對使用者不會有影響","防火牆的形式只有一種","防火牆應由資訊人員全權決定其設定",防火牆有可能因為對使用者影響過大造成反彈而形同虛設
Ans4,"30.許多隱私規範皆提到隱私官的設置，下列何者非如此設計之原因 (*195)","大部分機構之業務重點與隱私無關甚或有衝突","交由各業務單位處理隱私可能造成多頭馬車","隱私保護實為專業",若有過失只需人受罰
Ans3,"31.隱私權之核心價值為 (*193)","隱惡揚善","給犯錯的人一個機會","尊重個人之自主權",寬以待人
Ans4,"32.企業醫療資訊整合(IHE)中的 XDS-MS-IP 整合剖面，其功能為了 (*682)","放射科的技術架構整合","資訊基礎建設的技術架構整合","檢驗科的技術架構整合",病患照護協調的技術架構整合
Ans4,"33.下列那一項屬於醫院的商業智慧系統(Business Intelligence System， BIS)的功能 (*657)","資料探勘 Data Mining","線上分析處理 Online Analytical Processing","知識管理 Knowledge Management",以上皆是
Ans3,"34.那一項是台灣遠距醫療最新的應用領域 (*650)","遠距教學 ","遠距會診","遠距健康照護 ",遠距諮詢
Ans4,"35.那一項不是醫學資訊的分類 (*580)","學術研究導向的醫學資訊 ","實際醫療導向的醫學資訊","教育導向的醫學資訊",交易導向的醫學資訊
Ans1,"36.下列描述何者為非 (*375,461,383)","重複用藥的警示主要用於藥局系統","門診系統也提供開立「住/入院許可證」功能","stat order之開立僅用於住院系統藥囑",排程系統係提供X光檢查排定執行日期功能
Ans4,"37.那一項不是電子病歷的特性 (*539)","複雜的文件","私人的文件","延續照護的可信賴資料來源",公開的文件。
Ans2,"38.那一項資訊科技應用在病人安全資訊系統會有無線電波干擾的問題 (*512)","二維條碼標籤辨識","無線射頻辨識","指紋辨識",臉部辨識。
Ans4,"39.那一項不是套裝醫令(Order Sets) (*472)","個人套裝醫令","系統套裝醫令","部門套裝醫令",藥品套裝醫令
Ans4,"40.那一項不是臨床護理作業 (*429)","出院準備服務","護理記錄","護理計畫",病人分類
Ans2,"41.對急診系統，下列描述何者為非 (*312,318,320)","先執行檢傷再掛號","開立藥品一般預設3天，但限定不得超過7天","有記錄病人動向功能",具留觀病床功能
Ans4,"42.引進檢驗資訊系統來節省檢驗科內部各單位的工作時間，以那一項工作的節省時間是最少 (*364)","人工登錄結果","檢驗室品管","電話查詢",報表製作 
Ans1,"43.醫生補登未完成的病歷記錄，一般是被要求在幾天內完成 (*342)","七天","三天","五天",一天
Ans4,"44.EHR(電子健康記錄)的內容不涵蓋 (*558)","醫護機構","社區","民眾個人",以上皆非
Ans4,"45.那一項工作不屬於資訊系統的細部分析 (*226)","資訊範圍分析","功能處理分析","系統界面分析",專案規畫分析
Ans3,"46.開發醫院資訊系統，下列描述何者為非 (*455,457,461,463)","系統效能2?tier主從架構(client/server)較3?tier(web?based)佳","格式標準與彈性 XML較 HTML佳","藥品交互作用自動警示主要係供藥局人員發藥時檢查用",診間系統不僅供醫生使用，也含括護理作業功能
Ans2,"47.醫院營養系統中，提供有熱量調整及濃度調整的組合為 (*446)","一般飲食     ","管灌飲食","治療飲食     ",以上皆非
Ans1,"48.藥品庫存管理系統中那一種藥品的撥補週轉率最高 (*387)","大型點滴 ","一般藥品","低耗用量藥品 ",高耗用量藥品
Ans2,"49.就病歷管理，下列描述何者為非 (*336,342)","預約掛號一般在病人就診前一日即列出病歷調案單","病歷審查一般分「門診」與「住院」的審查","出院病歷規定於3天內須送回病歷室",一般醫院將未依規定完成病歷納入升遷考核或績效獎金依據
Ans4,"50.那一項不是台灣醫療照護品質指標 (*571)","門診指標 ","急診指標","住院指標 ",藥品指標 
