Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4
Ans3,1. 子宮脫垂即是骨盆腔的肌肉、韌帶及各層結締組織鬆弛後，子宮因地心引力牽扯而往下掉，並且常常伴隨膀胱、尿道、腸子等器官脫垂，造成許多不適與後遺症。子宮脫垂的英用術語是? (**135), Umbilical Cord Prolapse, Prolapse Vagina, Uterine Prolapse, Venereal Disease
Ans2,2. 慢性疲勞的身體症狀和憂鬱症常被混淆，甚至連醫師也常難以判斷，其中憂鬱症是指? (**162), Dental , Depression , Derma , Detorsion
Ans1,3. 胃潰瘍以反覆發作的節律性上腹痛為臨床特點，常伴有噯氣、返酸、灼熱、嘈雜等感覺，甚至還有噁心、嘔吐、嘔血、便血。『胃潰瘍』的英文是? (**47), Gastric Ulcer , Glaucoma , Cellulitis , Hemothorax
Ans3,4. 脂肪肝是指肝臟內的脂肪過量堆積，臨床表現有食欲不振、乏力、噁心嘔吐、腹脹、肝區隱痛以及肝臟腫大等，嚴重者可能造成肝硬化和肝癌。其中『食欲不振』是指? (**50), Diarrhea , Nausea , Anorexia , Hiccup
Ans2,5. 粗製棉籽油含有具生殖毒性的棉酚，對女性而言，會導致經期紊亂，子宮縮小，卵巢萎縮等。其中卵巢是指? (**62), Testis , Ovary , Breast , Pancreas
Ans4,6. 下列何者是由增生的成熟脂肪組織所形成的良性腫瘤? (**7), Carcinoma , Hematoma , Dysplasia , Lipoma
Ans4,7. 因為長時間的看手機或平板，會導致頸椎骨刺以及椎間盤突出，其中『椎間盤突出』是指? (**77), Trigeminal Neuralgia , Acute Myocardial Infraction, Hepatoma , Herniated Intervertebral Disc
Ans2,8. 在運動場上時常發生前十字韌帶斷裂的狀況，『前十字韌帶』是指? (**81), ADSL , ACL , AIDS , PBC
Ans3,9. 提供資料庫管理人員或程式設計師描述整體性的資料結構的層次為何？ (**110),內部層次(Internal Level) ,外部層次(External Level),概念層次(Conceptual Level) ,核心層次(Core Level)
Ans3,10. IEEE 所公告的區域無線網路的標準是下列哪一種? (**131),802.3,802.5,802.11,802.16
Ans1,11.醫療訊號處理，首先必須除去訊號中的雜訊(Noise)，一般都選擇使用下列哪一種設備? (**147),濾波器(Filter) ,頻譜分析儀(Frequency Analysis Instrument),感應器(Sensor) ,換能器(Transducer)
Ans3,12.醫生補登未完成的病歷記錄，一般是被要求在幾天內完成? (*342), 21 天 , 14 天 , 7 天 , 3 天
Ans2,13. 資訊系統發展的各個階段，會產生不同的文件，下列敘述何者正確? (**225),系統設計階段會產生初步設計規範書,系統分析階段會產生系統需求規格書,系統發展階段會產生系統規格說明書,系統推行階段會產生程式說明書
Ans2,14. 醫院資訊系統(HIS)與醫學影像存取與傳輸系統(PACS)之間是透過 RIS 溝通，RIS是下列何者的縮寫? (**406), Remote Image System , Radiology Information System, Reference Information Standard , Retrieval Image Service
Ans4,15. 資訊科技在醫院臨床應用，可以提升病人安全，下列何者對於醫療不良事件的防範沒有幫助? (**515-8),無線射頻辨識系統協助醫護人員確認病人身分,用藥安全資訊系統整合醫令系統，針對藥物的安全性及交互作用給予醫師提示,外科病人安全系統加強手術辨識正確之安全性，避免病人、部位及術式錯誤,架設錄影監視系統錄製病人跌倒的情況，作為懲處疏失人員的依據
Ans2,16. 疾病監測希望能夠達成的目的，不包括下列哪一項? (**527-8),偵測即時疫情,隔離嚴重傳染病患者,建立疾病自然史,防疫政策的制定與評估
Ans4,17. 醫療機構電子病歷製作及管理辦法中，下列敘述何者正確? (**551-2),電子簽章應於電子病歷製作後 72 小時內完成之,電子簽章僅能使用醫事憑證，即使醫療機構有訂定其他符合電子簽章法規定之簽章方式，也不得使用,醫事憑證及其附卡之核發、換發及補發，中央主管機關不得委託民間團體辦理，也不得收取證照費,醫療機構實施電子病歷之後，醫院評鑑之主管、主辦機關非有特殊理由，不得要求交付書面病歷
Ans3,18. Health on the Net Foundation 所訂定的醫學及健康網站執行原則 Hon code，不包括下列何者? (**583-4),權威性(Authority)：作者應為專業人員,補助性(Complementary)：不可替代主治醫師的治療,透明化(Transparency)：網站應確實公布病人姓名及諮詢內容,屬性(Attribution)：標明文章來源、日期
Ans3,19. 健保抽樣歸人檔提供的檔案種類不包括下列何者? (**599),門診處方及治療明細檔(CD),住院醫療費用清單明細檔(DD),急診醫療費用明細檔(ED),特約藥局處方及調劑明細檔(GD)
Ans1,20. 遠距醫療的功能，不包括下列何者? (**650), 遠距給藥 ,遠距生理量測 ,遠距會診 ,遠距醫護人員教育
Ans2,21. 以商業智慧或資料倉儲，呈現整合性醫療決策資訊，通常是使用下列哪一種方法?(**658),資料庫正規化(DataBase Normalization),"線上分析處理(OLAP, Online Analytical Processing)","線上交易處理(OLTP, Online Transaction Processing)",範例查詢(QBE ;Query By Example)
Ans1,22. 對於 HIMSS 與 RSNA 聯合提出的企業醫療資訊整合 IHE，下列的敘述何者正確?(**674-6), IHE 的技術架構(TF)可以分為 Integrating Profiles、 Actors 和 Transactions 三大部分, IHE 是制定新的醫療資訊交換標準如 HL7、DICOM 等，而非使用標準, IHE 是 International Health Enhancement 的縮寫, IHE 提供影像儀器製造商、系統廠商與醫師和病人之間的共通語言
Ans4,23. 1996 年美國通過的 HIPAA 法案，對於醫療資訊傳送標準及其安全保障有明確規範，HIPAA 是指下列何者的縮寫? (**92), Health Image Privacy and Access Act, Health Information Protection and Automation Act, Health Insurance Patient Assurance Act, Health Insurance Portability and Accountability Act
Ans2,24. 兩個資料表(table)要產生關聯(relation)，必須要有 key，下列描述何者為是? (*113),主鍵(Primary Key)的值只要不為 NULL 即可,被參考資料表所引用的稱為外部參考鍵(Foreign Key),主鍵的值可重複,外部參考鍵的值不可重複
Ans3,"25. 訊號處理領域的取樣原理(Nyquist Theorem)說要正確的取得訊號，我們的取樣頻率(Sampling Frequency)至少必須大於訊號內涵最高頻率的 X 倍""，請問 X 為? (*148)""",4,3,2,1
Ans2,26. 資訊安全目標的宗旨在於保護資料及系統資源的三種性質，下列何者不是其中之一? (*161), Integrity, Authority, Availability, Confidentiality
Ans4,27. 虛擬私有網路 VPN 的英文全名為? (*168), Virtual Public Network, Vector Private Network, Vector Public Network, Virtual Private Network
Ans1,28. 就我國「醫療憑證管理中心」下列描述何者有誤? (*177),「醫療憑證管理中心」由健保局主管維運,以「公開金鑰系統」為基礎,結合使用「醫事機構」憑證 IC 卡來保障民眾就醫之私密性或敏感性資料,結合使用「醫事人員」憑證 IC 卡來保障民眾就醫之私密性或敏感性資料
Ans1,29. 下列何者不是目前電子病歷交換單張所用到的資訊技術? (*181), Digital Filter , DICOM , CDA , Electronic Signature
Ans4,30. 就?私於醫療，下列描述何者為非? (*193-195),?私權是個人基本人權的一部份,讀取註記於 IC 卡上的重大傷病資料需醫事人員卡係為保障病人?私,?私屬個人資料，受「電腦處理個人資料保護法」的規範,除非在緊急下，否則醫療人員不得在未經病人同意下，調閱病人在其他醫院的就醫資料
Ans2,31. 診間醫令系統的 SOAP 資料輸入，請問 SOAP 中的 P 代表? (*460), Protocol, Plan, Process, Principle
Ans1,32. 下列何者非一般加護病房之床邊生理監視器測試並紀錄的項目? (*461),血糖(Blood Glucose),血氧飽和濃度(SpO2),心搏輸出量(CO),心電圖/呼吸(ECG/Respiration)
Ans3,33. 臨床路徑希望找出最有成本效益的治療模式，而達到與過去一樣的治療效果，或甚至比過去更好的醫療品質。下列何者非實行臨床路徑的必要步驟? (*486~489),詳細的記錄,察覺差異及隨時修正,選擇病患少的疾病或手術來建立臨床路徑,臨床路徑的推廣
Ans4,34. 下列何者非六大病人安全目標? (*508),提升用藥安全,提升手術正確性,預防病人跌倒,禁止異常事件通報
Ans1,35. 狂犬病屬於法定傳染病分類的那一類? (*529),第一類傳染病,第二類傳染病,第三類傳染病,指定傳染病
Ans4,36. 下列何者非電子病歷的優勢? (*542),電子病歷取得便利,電子病歷增加正確性及完整性,電子病歷呈現形式彈性及多樣化,電子病歷不具安全性
Ans2,37. 下列何者為電子病歷的法源基礎? (*546),電子簽章法,醫療法第 69 條,醫師法第 12 條,醫療機構電子病歷製作及管理辦法
Ans4,38. 行政院衛生署推動病歷中文化，最主要的目的是基於? (*549),讓病歷公開化,提升病歷品質,使病歷易於交換互通,維護病人知的權利
Ans3,39. 戴明所提出的 85-15 規律，也就是意外發生時 15%的原因是來自? (*567),作業系統錯誤,程序錯誤,人為因素,天候因素
Ans1,40. 戴明循環是指? (*567), PDCA , SOAP , CPOE , THIS
Ans2,41. 國家衛生研究院自 1998 年開始提供健保資料庫服務，請問一開始提供的是多少比多少的抽樣檔? (*597), 100:1 , 500:1 , 1000:1 , 10000:1
Ans4,42. 生物資訊大致上可被區分為三個主要的方向，下列何者為非? (*621),基因序列分析演算法開發,生物資料庫的建置,生物資料工具及資料探勘,黑心食品資料庫的建置
Ans4,43. 下列何者為需要遠距醫療的主要原因? (*646),偏遠地區醫療資源仍缺乏,需要改進轉診及照會的品質,滿足特殊照護需求,以上皆是
Ans1,44. 藥物不良事件是由於藥物的交互作用所造成的，其英文簡稱為? (*377), ADE, AED, DAE, EAD
Ans1,45. 企業醫療資訊整合的最主要原因為? (*674),醫療資訊間無法完善溝通,健保費用申報,疫情通報,醫療資訊管控
Ans1,46. IHE(企業醫療資訊整合)以整合下列哪些系統為主? (*675)," HIS, RIS, PACS"," HIS, CIS, PACS"," NIS, RIS, PACS"," PIS, CIS, NIS"
Ans2,47. 目前我國全民健康保險申報時使用的疾病分類代碼是哪一種? (*93), ICD-8-CM, ICD-9-CM, ICD-10-CM, ICD-11-CM
Ans3,48. 下列何者不是常用的醫學詞彙及代碼標準? (*93), LOINC, MeSH, UML, SNOMED
Ans2,"49. 衛生福利部所制定的電子病歷基本格式，是遵循 HL7/CDA 的標準，CDA 是指下列何者? (*97,552)", Communication Data Access, Clinical Document Architecture, Computer Database Assistance, Control Disease Association
Ans4,50. 下列何者為正確的急診一般作業流程? (*311),病人來院狀況若非常緊急，由急診醫師判斷為一級傷患並且立即處理,急診病人需由受過訓練之護理人員辦理檢傷分類，檢傷分類共分五級，以決定病患看診順序,急診一般都不需先行掛號即可看診,以上皆是
