Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,1.一名 32 歲女性因臉色蒼白、倦怠、小便混濁，擔心腎功能不好而至門診求診查明原因。其中，在現症用語中對於病患表情描述時，所使用的「倦怠的」是指: (**25), Fascia , Flat , Fuzzy , Fatigue,201109,(**25),常用醫護術語25
Ans4,2.醫生懷疑病人可能得了急性心肌梗塞造成呼吸困難，其中「急性心肌梗塞」是指: (**41), Acute Rheumatic Fever , Acute Renal Failure, Acute Bacterial Endocarditis , Acute Myocardial Infarction,201109,(**41),常用醫護術語41
Ans1,3.「心律不整」是指: (**45), Arrhythmia , Asystole , Aneurysm , Aromatic,201109,(**45),常用醫護術語45
Ans3,4. 藥物不良反應一般簡稱為 ADR，其全名為: (**19), Alert Drug Reaction , Affected Drug Reaction, Adverse Drug Reaction , Advance Drug Reaction,201109,(**19),常用醫護術語19
Ans3,"5. 對於未來醫療資訊的發展趨勢，下列敘述何者為非： (*37-41,650)", 由紙本病歷走向電子病歷 , 從醫院管理轉型為醫療管理, 從健康管理轉型為疾病管理 , 從定點醫療走向行動/遠距醫療,201109,"(*37-41,650)",2
Ans1,6. 骨關節炎好犯負重關節及指關節，通常發生於 45 歲以後，因為長久以來關節所承受的負荷及傷害所造成，其中「骨關節炎」是下列何者: (**84), Osteoarthritis , Osteotomy , Osteoporosis , Osteomyelitis,201109,(**84),常用醫護術語84
Ans4,7. 1847 年德國病理學家魯道夫·菲爾紹首次識別了白血病。白血病的病源是由於細胞內 DNA 的變異形成的骨髓中造血組織的不正常工作。「白血病」的英文是: (**47), Erythremia , Erythropenia , Anemia , Leukemia,201109,(**47),常用醫護術語47
Ans4,8.日前台大醫院發生移植醫學史上最大的醫療疏失，其原因在於檢驗師和協調師通電話時將愛滋檢驗結果聽錯，其中檢驗結果為「陽性」的英文是: (**31), Negative , Non-reactive , Exudative , Positive,201109,(**31),常用醫護術語31
Ans3,"9. 有關電子病歷，下列敘述何者為非： (*37,546-552)", 美國病歷學會將其發展區分為五個階段 , 簽章方式未強制規定必須要使用醫事人員卡簽章, 無法取代紙本病歷, 法源依據為醫療法第 69 條,201109,"(*37,546-552)",28
Ans1,10. 多數大型醫院之病歷檔案管理均採那種排列方式，以促使檔案管理人員工作量趨向均等且節省病歷調閱時間: (*280), 尾位數 , 中位數 , 頭位數 , 以上皆非,201109,(*280),15
Ans3,11. 論病例計酬主要是依病例組合分類而非服務項目訂定付費標準。病例的分類方法有很多，其中我國健保局採用何種方式，作為病人前瞻性付費制度之支付基準: (*283), 臨床路徑(Clinical Pathway) , SOP(Standard Of Process), 診斷關係群(Diagnosis Related Group) , 以上皆非,201109,(*283),15
Ans4,12. 下列何者無法在系統之間透過介面來相互交換醫療影像資訊: (*404), PACS(Pictures Archiving and Communication System), HIS(Hospital Information System), RIS(Radiology Information system), PIS(Pharmacy Information System),201109,(*404),20
Ans3,13. 下列何者在使用上的方便性高，可用在床邊的移動性 X 光攝影: (*405), MR( Magnetic Resonance) , DR(Digital Radiograph), CR(Computerized Radiograph) , VR(Virtual Reality),201109,(*405),20
Ans4,14. 下列何者是電子病歷的目標: (*540), 醫療照護的延續 , 醫療給付的依據 , 醫療效率的促進 , 以上皆是,201109,(*540),28
Ans3,15. 醫療法規定醫囑應於病歷載明或以書面為之。但情況急迫時，得先以口頭方式為之，並於多久內完成書面記錄: (*549), 6 小時 , 12 小時 , 24 小時 , 48 小時,201109,(*549),28
Ans3,16. 醫療法規定醫療機構之病歷，應指定適當場所及人員保管，並至少保存七年。但未成年者之病歷，至少應保存至其成年後幾年: (*549), 三年 , 五年 , 七年 , 九年,201109,(*549),28
Ans2,17. 就醫記錄除了以病患基本資料、就診日期、科別、診別等資料外，一般皆採用何種方式來記錄: (*555), OPSA（客觀、處置、主觀及評估） , SOAP（主觀、客觀、評估及處置）, ASPO（評估、主觀、處置及客觀） , PASO（處置、評估、主觀及客觀）,201109,(*555),28
Ans3,18. 下列何者並非國際生物資訊資料庫最大的特色之一: (*630), 逐漸走向國際整合 , 逐漸走向同步化, 逐漸走向化整為零 , 逐漸走向多元化,201109,(*630),32
Ans1,19. 下列何者系統是在醫院資訊系統架構下之後端整合性管理資訊系統，也是目前國內醫療界最急需提升醫院管理層次的重要資訊整合性資訊系統: (*657), BIS(Business Intelligence System) , CIS(Clinical Information System), HIS(Healthcare Information System) , 以上皆非,201109,(*657),34
Ans4,20. 衛生署制定的電子病歷基本格式，是遵循 HL7/CDA 的標準，請問 CDA 是指： (*552), Control Disease Association , Communication Data Access, Computer Database Assistance , Clinical Document Architecture,201109,(*552),28
