Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans1,1. 下列何者不屬於心血管系統？ (**20), larynx , veins , vessels , arteries,201403,(**20),常用醫護術語20
Ans1,2. 白血病又稱血癌，是因骨髓造血細胞產生不正常增生，進而影響骨髓造血功能的惡性疾病。其中，『白血病』的英文是指？ (**33), Leukemia , Thrombocytosis , Splenomegaly , Albumin,201403,(**33),常用醫護術語33
Ans2,3. 感冒到醫院看醫生時，有時候當喉嚨有發炎狀況時，醫師會診斷為扁桃腺發炎。扁桃腺炎的英文是指？ (**38), Atelectasis , Tonsillitis , Asthma , Rhinorrhea,201403,(**38),常用醫護術語38
Ans2,4. 肺癌、腫瘤壓迫呼吸道、心臟衰竭、貧血或肺部感染等都有可能引起呼吸困難，其中『呼吸困難』常用字彙為下列何者？ (**39), Croupy , Dyspnea , Asthma , Influenza,201403,(**39),常用醫護術語39
Ans3,5. 夜間盜汗是指在夜間發生任何過量的出汗，其中『盜汗』的英文是指？ (**40), Cold Sweats , Sore , Night Sweats , Snore,201403,(**40),常用醫護術語40
Ans4,6. 普通感冒的典型症狀，包括咳嗽、流鼻涕、鼻塞、發燒和喉嚨痛，有時還伴有肌肉酸痛、疲勞、頭痛以及食慾不振。發燒的英文是指？ (**40), Sneeze , Shivering , Chill , Fever,201403,(**40),常用醫護術語40
Ans1,7. 在學運衝突中有人員受?，經醫生診斷為氣胸。氣胸是指？ (**44), Pneumothorax , Respiratory Failure, Anorexia , Ascites,201403,(**44),常用醫護術語44
Ans3,8. 1981 年兩位澳洲醫師巴裡馬歇爾和羅賓沃倫發現幽門螺旋桿菌才是造成胃潰瘍病因，而非過去熟知的壓力或生活不正常等因素。『胃潰瘍』的英文是？ (**47), Pneumothorax , Duodenum Ulcer, Gastric Ulcer , Dentalgia,201403,(**47),常用醫護術語47
Ans2,9. 設計資料庫時，使用物件關係描述模式(Entity Relationship Model ERM)工具主要是建構哪一個層次的資料庫綱要？ (*101), 外部層 , 概念層 , 內部層 , 實體層,201403,(*101),6
Ans4,10. 為了確保交易執行的正確性，一個交易在資料庫管理系統中具有四種特性，即所謂的ACID 特性。下列何者不屬於 ACID 特性？ (*103), 單元性 , 一致性 , 永久性 , 接觸性,201403,(*103),6
Ans4,11. 關聯式資料庫是最被廣泛使用的管理系統架構，1970 年由喀德（Codd）首度提出。它是以下列何種方式來建構資料庫？ (*109), 關聯(Relation) , 表格(Table), 二維的資料表格(Two Dimensional Table) , 以上皆是,201403,(*109),6
Ans1,12. 為降低非必要的資料重複，庫設計時需執行？ (*115), 正規化 (Normalization) , 最佳化 (Optimization), 視覺化 (Visualization) , 最小化 (Minimization),201403,(*115),6
Ans3,13. 在資料庫設計實務上，為保持「執行效率」與「避免異常」間的平衡，通常正規化形式(Normal Form:NF)進行到第幾 NF 即可？ (*123), 1NF , 2NF , 3NF , 4NF,201403,(*123),6
Ans1,14. 網路管理中管理端與被管理端通常使用何種通訊協定進行溝通？ (*151), SNMP , DICOM , SNOMED , LOINC,201403,(*151),7
Ans1,15. 在雜訊去除的方法上，若已知欲測量的訊號與雜訊的頻率範圍不相同，一般選用濾波器（filter）的方法來加以去除雜訊。請問欲同時濾除高頻與低頻雜訊，可使用下列哪種濾波器？ (*158), 帶通濾波器（band-pass filter） , 低通濾波器（low-pass filter）, 高通濾波器（high-pass filter） , 帶限濾波器（band-stop filter）,201403,(*158),8
Ans3,16. 下列何者採用失真型演算法？ (*160), ZIP , ARJ , MP3 , RAR,201403,(*160),8
Ans1,17. 使用 QRS 波搜尋的訊號處理技術，主要是應用在下列哪一種醫療設備？ (*163),心電圖機 , 診斷用超音波, X 光機 , 人工電子耳殘障輔具,201403,(*163),8
Ans4,"18. 跨醫療院所或衛生行政機關所採用的虛擬私有網路(Virtual Private Network, VPN)主要採用的資訊安全技術，其中不包括下列何者？ (*179)", 穿隧(Tunneling) , 加解密(Encryption & Decryption), 密鑰管理(Key Management) , 應用層過濾器(Application Filter),201403,(*179),9
Ans3,19. 所謂 LOINC 是指下列何者的縮寫？ (*86), Laboratory Object Identifiers Names and Codes, Laboratory Object Information Names and Codes, Logical Observation Identifiers Names and Codes, Logical Observation Interaction Names and Codes,201403,(*86),5
Ans4,20. 下列何者屬於對稱性密碼系統？ (*183), SET , SSL , RSA , DES,201403,(*183),9
Ans4,21. 下列有關加解密技術之描述何者正確？ (*183), 醫療憑證管理中心採用對稱性加密系統, 非對稱性密碼系統，因為不需要考慮對稱性，所以速度較快, 傳輸大量的資料一般會用非對稱性加密系統直接加密之, 非對稱性密碼系統是因加密端與解密端用以加密與解密之金鑰不相同而得名,201403,(*183),9
Ans3,22. 公開資料庫時的第一步隱私保護技術，必須先將能識別個人之欄位移除的動作為下列何者？ (*205), 知情同意權(informed consent) , 身分認證(Authentication), 去識別化(deidentification) , 多方私密計算(multiparty secure computation),201403,(*205),10
Ans2,23. 系統功能細化、模組結構建立、模組細部設計等程序，通常是屬於資訊系統開發過程中，哪一個階段的工作？ (*236), 系統分析 , 系統設計 , 程式設計 , 系統測試,201403,(*236),12
Ans1,24. 請問下列何者為正確的描述？(*247), 黑箱與白箱測試的主要不同，在於白箱測試著重內在結構流程，而黑箱測試則專注於外在行為表現, 黑箱與白箱測試的主要不同，在於白箱測試著重外在行為表現，而黑箱測試則專注於內在結構流程, 黑箱與白箱測試的主要不同，在於白箱測試著重外在結構流程，而黑箱測試則專注於內在行為表現, 黑箱與白箱測試的主要不同，在於白箱測試著重內在行為表現，而黑箱測試則專注於外在結構流程,201403,(*247),13
Ans2,25. 請問下列何者為錯誤的描述？ (*247), 對資訊系統開發人員而言，α－測試屬於可控制環境下的測試，而β－測試卻是屬於不可控制環境下的測試工作, 對資訊系統開發人員而言，α－測試屬於不可控制環境下的測試，而β－測試卻是屬於可控制環境下的測試工作, α－測試與β－測試一般用於驗收測試的階段, α－測試與β－測試一般均由使用者進行系統測試工作為主,201403,(*247),13
Ans1,26. 醫院行政之主要任務中，掛號管理及批價管理是屬於下列何者？ (*279), 醫療事務 , 醫療照護 , 經營管理 , 醫師服務,201403,(*279),15
Ans4,27. 請問下何者為正確的描述？ (*280), 批價對急診與門診而言，最大的差異點在檢傷分類，不同的嚴重程度所需之診察費不同, 批價對急診與門診而言，另一個不同點在於門診批價完畢後即行收費並列印收據, 批價對急診與門診而言，另一個不同點則是急診常會遇到多次批價，如果利用門診批價收費的方式，則會發生收據混亂等問題, 以上皆是,201403,(*280),15
Ans3,28. 住院病人來源除了門急診外，伴隨生產案件而產生之新生兒則以下列何者為依據，進行新生兒基本資料維護作業，以建立母親與新生兒之間的關聯性，符合健保申報之需求？(*282), 新生兒病姓名 , 父親病歷號 , 母親病歷號 , 新生兒病歷號,201403,(*282),15
Ans2,29. 對於各種健保支付制度，下列敘述何者錯誤？ (*286), 論量計酬 - 醫師的醫療行為自主權高, 論日計酬 - 作業複雜，行政成本高, 論人計酬 - 行政作業成本低, 總額預算制 - 有效控制醫療費用上漲,201403,(*286),15
Ans4,30. 下列對於臨床路徑的敘述何者正確？ (*287), 醫院在因應論病例計酬支付制度，臨床路徑乃是諸多管理措施中最廣為採用之利器, 臨床路徑是一種固定的治療建議模式，讓病人由住院到出院都依此模式的規範來接受治療。, 醫院可藉由臨床路徑來控制整個醫療成本並維持或改進醫療的品質, 以上皆是,201403,(*287),15
Ans1,31. PACS 醫學影像系統的資訊儲存及交換，主要是採用下列哪一種共通格式？ (*296), DICOM , HL-7 , ICD-9-CM , JPEG,201403,(*296),15
Ans2,32. 急診檢傷分類標準分為五級，請問下列何者屬於第一級？ (*318), 危急（EMERGENT） , 復甦急救（RESUSCITATION）, 緊急 （URGENT） , 次緊急（LESS URGENT）,201403,(*318),16
Ans4,33. 醫生補登未完成的病歷記錄，一般是被要求在幾天內完成？ (*346),1,3,5,7,201403,(*346),17
Ans2、3,34. 我國電子病歷發展目前進入到哪個階段？ (*35), CMR , EMR , EPR , EHR,201403,(*35),2
Ans3,35. 所謂單一劑量調劑作業(Unit Dose)主要是應用在哪一種藥局？ (*381), 社區藥局 , 門診藥局 , 住院藥局 , 急診藥局,201403,(*381),19
Ans4,36. 在醫療資訊系統中，NIS 通常是指下列哪一種資訊系統的英文縮寫 (*424), 檢驗資訊系統 , 放射資訊系統 , 藥局資訊系統 , 護理資訊系統,201403,(*424),22
Ans1,37. 住院之病人，常因診斷及治療期間，形成壓力（stress），導致營養流失。營養評估的方法分為六大項，分別以 A、B、C、D、E、F 之代號為速記（the ABCDEF's of nutritionassessment），請問下列何者屬於 B？ (*445), 生化檢驗（biochemical study） , 身體檢查（body examination）, 骨質測量（bone mass measurement） , 以上皆非,201403,(*445),23
Ans1,38. 套裝醫令可以減少醫師開立醫囑的時間，通常分為三種，其中不包括下列哪一種？(*470), 病人套裝醫令(Patient Order Sets) , 個人套裝醫令(Physician Order Sets), 系統套裝醫令(System Order sets) , 部門套裝醫令(Official Order sets),201403,(*470),25
Ans2,39. 關於臨床路徑的優點敘述何者錯誤？ (*491), 避免醫院治療系統的故障 , 增加住院日數, 改進治療成果，提高醫療品質 , 減少併發症的發生,201403,(*491),25
Ans4,40. 關於疾病監測的目的何者正確？ (*527), 建立疾病自然史 , 偵測即時疫情, 制訂與評估防疫政策 , 以上皆是,201403,(*527),27
Ans1,41. 依規定醫師、醫事人員及學校人員等，如發現符合傳染病通報定義之個案時，應依規定的時限內向當地衛生局或疾病管制署通報，主要是下列哪一種系統？ (*528), 法定傳染病監視通報系統 , 合約實驗室監視系統, 即時疫情監視及預警系統 , 肺炎及流感死亡即時監測系統,201403,(*528),27
Ans2,42. 法定傳染病分為五類，請問登革熱屬於哪一類？ (*529), 第一類 , 第二類 , 第四類 , 第五類,201403,(*529),27
Ans2,43. 醫療品質大師 Donabedian 在如何衡量醫療品質的研究中，指出要衡量醫療品質有三個面向，分別可以從結構（structure）、過程（process）和結果（outcome）面來衡量品質。過去醫療界在醫療品質的衡量方面，都比較重視從結構面客觀的數據來做品質的規劃跟品質的改善與監控，可是現在的思維都已經逐漸轉向希望能找到下列哪些面向夠多的指標，來幫助我們做品質的監控及改善？ (*563), 結構面與過程面 , 過程面與結果面, 結構面與結果面 , 以上皆是,201403,(*563),29
Ans3,44. 戴明提出「85-15 規律」，即意外發生時 85％的原因是作業系統或程序錯誤，只有 15％是下列何種原因所造成，希望強調系統性的思考，而不是大家因為怕受到指責互相推卸責任？ (*564), 還是作業系統或程序錯誤的原因 , 機械的原因, 人為的原因 , 天候的原因,201403,(*564),29
Ans2,45. 在醫療品質管理中『PDCA 循環』是指？ (*565)," Protocol, Drug, Check, Alert "," Plan, Do, Check, Action"," Plan, Do, CDA, Alert "," Process, DICOM, CDC, Action",201403,(*565),29
