Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,1.Target Therapy 是指 (**149),放射治療 ,電療 ,復健治療 ,標靶治療,200909,(**149),
Ans2,2.心肌炎的醫護術語為 (**41),ankylosis ,myocarditis ,hyperemesis ,nullipara,200909,(**41),
Ans2,3.Glaucoma 是指 (**99),高血糖症 ,青光眼 ,貧血 ,黃疸,200909,(**99),
Ans4,4.Schizophrenia 是指精神科的 (**141),失智症 ,暴露症 ,畏懼症 ,精神分裂症,200909,(**141),
Ans1,5.最近 H1N1 疫苗問題被炒的很熱，請問疫苗的醫護術語是 (**138),vaccine ,vaginitis,treatment ,enterorrhagia,200909,(**138),
Ans1,6.Acute Myocardial Infarctiom (AMI) 是指 (**41),急性心肌梗塞 ,猛爆性肝炎 ,躁鬱症 ,急性腸胃炎,200909,(**41),
Ans3,7.Positron Emission Tomography (PET) 是指 (**44),內視鏡檢查 ,癌症基因篩檢 ,正子斷層造影 ,核磁共振攝影,200909,(**44),
Ans3,8.cellulitis 糖尿病患者容易患的一種疾病，是指 (**132),視網膜剝離 ,腎衰竭 ,蜂窩組織炎 ,氣胸,200909,(**132),
Ans4,9.下列那一項應用系統不使用 DICOM 標準？ (*674),PACS ,CT ,MRI ,LIS,200909,(*674),
Ans4,10.以下那一項不是平衡計分卡的績效評估指標？ (*664),顧客構面 ,財務構面 ,內部程序構面 ,外部環境構面,200909,(*664),
Ans4,11.下列那一項不是基因的成對序列排比？ (*624),全域排比 ,半全域排比 ,區域排比 ,半區域排比,200909,(*624),
Ans1,12.下列那一項不是健保資料庫提供的研究資訊？ (*598),健保財務統計資訊 ,藥物資訊 ,醫療院所資訊,疾病資訊,200909,(*598),
Ans4,13.下列那一項不是就醫記錄的 SOAP？ (*555),主觀 ,客觀 ,處置 ,價格,200909,(*555),
Ans3,14.法定傳染病共分為幾類？ (*529),三類,四類 ,五類 ,六類,200909,(*529),
Ans4,15.下列那一項不是病人安全資訊系統？ (*511),無線射頻身分辨識系統 ,二維條碼手環辨識系統,不良醫藥事件通報系統 ,藥品採購管理系統,200909,(*511),
Ans4,16.下列那一項不是臨床護理作業？ (*429),出院準備服務 ,護理記錄 ,護理計畫 ,病人分類,200909,(*429),
Ans4,17.下列那一項不是放射科的檢查儀器？ (*401),X Ray ,CT ,MRI ,RFID,200909,(*401),
Ans3,18.下列那一項不是藥品庫存管理的基準？ (*386),安全存量 ,最高存量 ,最高採購量,採購週期,200909,(*386),
Ans4,19.下列那一項不是藥囑類型？ (*291),長期藥囑 ,立即給藥藥囑 ,需要時使用藥囑 ,住院藥囑,200909,(*291),
Ans2,20.下列那一項不是系統的整體測試？ (*242),回復測試 ,α 及 β 測試 ,壓力測試 ,安全測試,200909,(*242),
Ans4,21.下列那一項不是網路效能的測量值？ (*124),可靠度 ,延遲性 ,網路能量 ,電子郵件,200909,(*124),
Ans3,22.下列那一項是常用的資料庫管理系統架構？ (*112),檔案式 ,網狀式 ,關聯式 ,階層式,200909,(*112),
Ans2,23.下列那一項不是門診資訊系統？ (*79),掛號 ,會計 ,批價 ,病歷,200909,(*79),
Ans3,24.「電子簽章法案」是規範電子簽章的相關作業，確立電子簽章的法律效力，做為電子商務與電子資料交換的作業基準；下列那些原則是此法建立的基礎？ (*18),技術中立、資料完整、契約自由,技術中立、資料完整、市場導向,技術中立、契約自由、市場導向,資料完整、契約自由、市場導向,200909,(*18),
Ans3,25.下列那一項是正確的描述? (*551),病歷電子化就相當於實施電子病歷,HCA是衛生局所推動之醫事人員認證機制,電子病歷之電子簽章應於病歷製作後二十四小時內完成之,電子簽章只能憑中央主管機關之醫事憑證為之,200909,(*551),
Ans2,26.網路是一種分散且異質的環境，要做好網路管理，網路管理者必須透過軟體工具與網路設備溝通，一般所採用的「簡易網路管理通訊協定」是下列哪一種協定？ (*137),SOAP ,SNMP ,SMTP ,SNCP,200909,(*137),
Ans3,27.衛生署預定於民國九十九年起全面實施新急診檢傷分類標準，使醫院能致力於處置危急的重症病患，將有限之資源留給最危急、最嚴重之病人使用。請問新急診檢傷分類標準共分為幾級？ (*313),三 ,四 ,五 ,六級,200909,(*313),
Ans4,28.健保制度中的DRG支付制度之優點不包括下列中哪一點？ (*481),獲得較好的醫療效率,減少不必要的住院日數，減少感染的機會,藉由醫院發展臨床路徑診療指引及醫療資訊公開，民眾獲得的照護水準會趨向一致,可促進病人的就醫可近性,200909,(*481),
Ans1,29.資料通訊傳輸速率的單位為bps，其中的b代表下列何者？ (*123),bit ,byte ,block ,以上皆非,200909,(*123),
Ans1,30.下列那一項有關HL7的描述是錯誤的? (*96),HL7的7代表第七版,HL7的7代表第七層的應用層,HL7是一種健康資訊的交換標準,HL7目前最新的版本是第三版,200909,(*96),
Ans4,31.電子病歷的發展階段最後是朝向哪一階段? ( *37),電子化病歷系統(CMR) ,電子病歷(EMR),電子病患資料系統(EPRS) ,電子健康資訊系統(EHR),200909,(*37),
Ans2,32.衛生署委託 HL7 Taiwan 學會最近制定的電子病歷基本格式，是遵循了HL7/CDA 的標準，所謂 CDA 是指下列何者？ (*97),Clinical Document Association ,Clinical Document Architecture,Control Disease Arrangement ,Control Disease Assistance,200909,(*97),
Ans1,33.依據電子及通訊工業協會(EIA/TIA)所訂立的 EIA/TIA-568 標準，雙絞線Category 5 的傳輸速度可達？ (*136),100 MHz ,200 MHz ,500 MHz ,600 MHz,200909,(*136),
