Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans2,1.心律不整是指? (**45),Neurysm ,Arrhythmia,Asystole ,Aromatic,201010,(**45),
Ans4,2.Glaucoma 是指? (**99),高血糖症 ,黃疸,貧血 ,青光眼,201010,(**99),
Ans2,3. Skin Grafting 是指皮膚科治療中的哪一項手術?,拉皮手術 ,植皮,玻尿酸美容 ,肉毒桿菌手術,201010,null,
Ans3,4.敗血症是指? (**49),Skeocytosis ,Siphac,Septicemia ,Sacrococyx,201010,(**49),
Ans2,5.子宮頸切片是指? (**107),Cervival Cancer ,Cervical Biopsy,Cervical Conization ,Cervical Erosion,201010,(**107),
Ans2,6.Cellulitis 是糖尿病患者容易患的一種疾病，它是指? (**132),氣胸 ,蜂窩組織炎,腎衰竭 ,視網膜剝離,201010,(**132),
Ans1,7.Multiple-Resistant Staphylococcus Aureus，簡稱 MRSA 是指? (**103),抗藥性金黃色葡萄球菌 ,肺炎雙球菌,結核菌 ,芽孢菌,201010,(**103),
Ans3,8.下列有關 LOINC 之敘述何者為真？ (*95),是 Logical Observation Interaction Names and Codes 之縮寫,包含了所有之檢查,是一種臨床檢驗編碼系統,醫院臨床檢驗都已經採用 LOINC,201010,(*95),
Ans4,9.電子病歷是文件的一種，下列何者不是它的特性? (*539),提供持續照顧的可信賴資料來源,私密,複雜,目前有統一的格式,201010,(*539),
Ans4,"10.對 DRG( Diagnosis-Related Groups)敘述何者為非? (*94,283,481)",用以代表住院病患的診斷類別 ,作為醫療費用給付的參考,以住院天數為編碼考量 ,是一種總額預算支付方式。,201010,"(*94,283,481)",
Ans1,11.建構護理資訊系統，目前大多以那個組織的資料庫為參考? (*431),NANDA ,TNIA,TAMI ,MEDLINE,201010,(*431),
Ans3,12.每個軸形成一完整的階層式分類方式，且包含疾病診斷名詞之一種多軸醫學名詞命名系統為? (*94),ICD ,HL7 ,SNOMED ,DRG,201010,(*94),
