Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans3,1: 萊克多巴胺在豬隻的動物實驗中，餵食藥劑後，許多豬隻的新陳代謝出了問題，而且產生攻擊性、情緒緊繃等情緒上的問題。下列何者是指『攻擊行為』? (**145),Automatism ,Catatonia ,Aggression ,Delusion,201303,
Ans2,2: 胃潰瘍的發生是由於十二指腸的黏膜被胃液「吃掉」的結果，這種情形在胃液變得極度酸性的時候就會產生，『胃潰瘍』的英文是 ? (**173),Gastric Cancer ,Gastric Ulcer ,Duodenal Ulcer ,Breast Cancer,201303,
Ans2,3: 腦中風的預防方面，首先要常量血壓，尤其有高血壓病史者，其中『高血壓』是指 ? (**209),Hybridize ,Hypertension ,Hyperactive ,Hyperthermia,201303,
Ans1,4: 一般出院病歷摘要通常包含主訴、病史、體檢發現、併發症、出院指示與用藥等資訊，其中『併發症』是指? (**245),Complications ,Laboratory ,Radiology ,Chief Complaint,201303,
Ans2,5: 潛血檢查是要檢查大便裡面是不是含有肉眼看不見的血液的檢查，『潛血』的英文是 ?(**34) ,White Blood ,Occult Blood ,Red Blood ,Green Blood,201303,
Ans3,6: 大腸癌是結腸直腸癌的統稱，為國人罹癌人數第一名，大腸癌的英文是指 ? (**60),Lung cancer ,Liver cancer ,Colon cancer ,Breast cancer,201303,
Ans1,7: 低頭族因為長時間的低頭與駝背，會導致頸椎長骨刺以及椎間盤突出，其中 『椎間盤突出』 是指? (**75),Herniated Intervertebral Disc ,Trigeminal Neuralgia,Hepatoma ,Acute Myocardial Infraction,201303,
Ans4,8: 在運動場上時常發生前十字韌帶斷裂的狀況，『前十字韌帶』是指 ? (**81),LCL ,PCL ,MCL ,ACL,201303,
Ans3,9: 對關聯式資料庫而言，下列敘述何者錯誤 ? (*112),每一張表格至少應有一個主鍵,被參考資料表所引用的稱為外部參考鍵 (Foreign Key),主鍵的值可重覆,建立索引的目的在加快查詢速度,201303,
Ans2,10: 為降低非必要的資料重複，資料庫設計時需要執行 ? (*116),最佳化(Optimization) ,正規化(Normalization),最小化(Minimization) ,視覺化(Visualization),201303,
Ans2,11: 正規化(Normalization)最常使用於下列何種資料庫結構 ? (*116),網狀式 ,關聯式 ,階層式 ,物件導向式,201303,
Ans4,12: 網路是一種分散且異質的環境，要做好網路管理，網路管理者必須透過軟體工具與網路設備溝通，一般所採用的「簡易網路管理通訊協定」是下列 哪一種協定? (*137),SOAP ,SMTP ,SNCP ,SNMP,201303,
Ans1,13: 下列有關加解密技術之描述何者正確 ? (*169),非對稱性密碼系統是因加密端與解密端用以加密與解密之金鑰不相同而得名,傳輸大量的資料一般會用非對稱性加密系統直接加密之,醫療憑證管理中心採用對稱性加密系統,非對稱性密碼系統，因為不需要考慮對稱性，所以速度較快,201303,
Ans4,14: 用以增加新功能或改良原系統功能的工作，是哪一種系統維護工作 ? (*260),矯正性維護 ,預防性維護 ,適應性維護 ,完善性維護,201303,
Ans1,15: 下列何者為正確的急診一般作業流程 ? (*311),病人來院狀況若非常緊急，由急診醫師判斷為一級傷患並且立即處理,非緊急狀況由受過訓練之護理人員辦理檢傷分類，檢傷分類共分四級，以決定病患看診順序,急診一般都須先行掛號再看診,以上皆是,201303,
Ans2,16: 醫生補登未完成的病歷記錄，一般是被要求在幾天內完成 ? (*342),1 天 ,7 天 ,14 天 ,21 天,201303,
Ans1,17: 病歷記錄的內容大都以 SOAP 的方式記錄，SOAP 的全名為? (*344),Subject；Object；Assessment；Plan,Small; Object: Access; Protocol,Super; Object; Abstract; Plus,以上皆非,201303,
Ans1,18: 藥物不良事件是由於藥物的交互作用所造成的，其英文簡稱為 ? (*377),ADE ,AED ,DAE ,EAD,201303,
Ans2,19: 單一劑量配送制度（unit dose system）是近年來何種病患用藥的主要作業模式之一 ?(*380),門診病患 ,住院病患 ,急診病患 ,健檢病患,201303,
